seed,protocol,n_blocks,n_price_obs,n_return_obs,delta,delta_over_sp500_null_q95,violates_sp500_null_q95,block_delta_mean,block_delta_std,first_price,last_price,mean_price,std_price,acf_r_lag1,acf_abs_r_lag1,excess_kurtosis
42,continuous_rollout,100,25200,25199,0.026325721976519202,0.8696434485184565,False,0.026325721976519202,0.0,1253.30004883,7085.678824422243,4138.334788416074,1701.5933327430737,-0.0948771373532547,0.529608287397822,2976.8664761812997
42,independent_blocks,100,25200,25100,0.03700672122353563,1.222479394559491,True,0.03700672992604051,2.3094600058902177e-05,1253.30004883,1248.8464450811182,1214.3456121968,24.52755724791318,-0.12598166749394255,0.503634463539477,30.179685288233856
43,continuous_rollout,100,25200,25199,0.026326325701158223,0.8696633919478334,False,0.026326325701158223,0.0,1253.30004883,7084.461119649294,4138.076540289719,1701.1562404697129,-0.09493938594320188,0.5296066862715669,2977.437124211677
43,independent_blocks,100,25200,25100,0.037008950354602346,1.2225530316369388,True,0.037008957980310724,2.0730270743561644e-05,1253.30004883,1248.9395170186792,1214.3403928863725,24.5273775422094,-0.12598513673596035,0.5036367737481773,30.17974565878103
44,continuous_rollout,100,25200,25199,0.026325962654896458,0.8696513990838453,False,0.026325962654896458,0.0,1253.30004883,7085.203775403384,4138.158526691708,1701.6463085665753,-0.0949459473041742,0.5296083062628054,2977.5007433047185
44,independent_blocks,100,25200,25100,0.03700345992545126,1.2223716608944744,True,0.03700346754463512,1.863932861312225e-05,1253.30004883,1248.9476108526026,1214.366145787041,24.53146717527421,-0.12597224261596393,0.5036274047625432,30.179750030812883
45,continuous_rollout,100,25200,25199,0.026326324211708566,0.8696633427453789,False,0.026326324211708566,0.0,1253.30004883,7084.467171666506,4138.068555999785,1701.4666067536039,-0.09497816531205092,0.5295632966068452,2977.385847626757
45,independent_blocks,100,25200,25100,0.03700720055975628,1.2224952289439874,True,0.03700721529850847,2.2849214767651398e-05,1253.30004883,1248.8944053624903,1214.3523696146983,24.527755369970777,-0.125967009321469,0.5036239588580116,30.179522474675252
46,continuous_rollout,100,25200,25199,0.026325712723560137,0.8696431428563653,False,0.026325712723560137,0.0,1253.30004883,7085.69886302698,4138.537755904688,1701.756056702083,-0.09497678085218131,0.5295890502721682,2977.6122854324594
46,independent_blocks,100,25200,25100,0.03700878640998536,1.2225476158932715,True,0.03700879489288161,2.2193592227241855e-05,1253.30004883,1248.7848463033472,1214.3486239087304,24.52485631268081,-0.12597533598522564,0.5036337382740058,30.17978187301599
47,continuous_rollout,100,25200,25199,0.02632611258112672,0.8696563517443658,False,0.02632611258112672,0.0,1253.30004883,7084.894732472781,4137.922673951973,1701.5538581236422,-0.09493825398830101,0.5295714555557378,2977.0910004834986
47,independent_blocks,100,25200,25100,0.03700856308628369,1.2225402386219386,True,0.03700857743583019,2.3359305286351277e-05,1253.30004883,1248.8151960347925,1214.3426091332196,24.52528389273983,-0.12597963240302554,0.5036325744951345,30.17979888620644
