eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.061145675430695184,0.010427900783258025,0.057347887124245336,0.06479251236965256,30
10,0.0851181199153264,0.020779454040765546,0.0778038021860023,0.09264941272636251,30
20,0.10505934307972588,0.03458522263112511,0.09412769008427854,0.11850808102016644,30
30,0.11857357198993361,0.021354382756676414,0.11133401498819388,0.1266649776200453,30
40,0.13613828395803768,0.038603822162952446,0.1226754156934718,0.15029966258133445,30
50,0.1419029449423154,0.04510509939264753,0.12676683851207293,0.15870310496538875,30
60,0.14741662740707395,0.04608911476488153,0.13164416805530585,0.16438447279234725,30
70,0.1571242066721121,0.04800504722390181,0.14034684077526127,0.1750455186019341,30
80,0.16042058145006494,0.04820726880724485,0.14371308994169033,0.17813111983860527,30
90,0.19204660654067987,0.05514634264614655,0.17226361620550348,0.2121589522995054,30
100,0.18856628363331157,0.05692273378478104,0.1680318602484961,0.2089148801999787,30
