eval_year,mape
0,0.058248650282621384
10,0.07457435131072998
20,0.014964082278311253
30,0.17215211689472198
40,0.13544747233390808
50,0.041551124304533005
60,0.38088247179985046
70,0.42658084630966187
80,0.06521198153495789
90,0.5341112613677979
100,0.15388838946819305
