run_idx,0,10,20,30,40,50,60,70,80,90,100
0,0.0116352345794439,0.0162355322390794,0.0158373676240444,0.408624917268753,0.0204981379210948,0.036195158958435,0.0456642508506774,0.0373836532235145,0.018404109403491,0.0234785117208957,0.0488312356173992
1,0.0110356789082288,0.0170888341963291,0.0176858603954315,0.0147808231413364,0.0162982549518346,0.0172959696501493,0.0235354788601398,0.028992498293519,0.286780446767807,0.0513816475868225,0.0244298558682203
2,0.0110822692513465,0.0154286520555615,0.0162070635706186,0.0156321581453084,0.02286690287292,0.023400854319334,0.0145682394504547,0.0226065404713153,0.017893573269248,0.0294318217784166,0.0188935678452253
3,0.0115940542891621,0.0311495475471019,0.0220218151807785,0.0218529067933559,0.0378482267260551,0.0206681955605745,0.020073652267456,0.0217381883412599,0.0586899295449256,0.0258193314075469,0.0338070802390575
4,0.0108573101460933,0.0152870612218976,0.0232665576040744,0.0196634959429502,0.0425798036158084,0.0234051626175642,0.0178577378392219,0.0302822347730398,0.0234224423766136,0.0255303401499986,0.0239817183464765
5,0.0114274220541119,0.0154183516278862,0.0173938311636447,0.0176399014890193,0.0165810231119394,0.0187314953655004,0.0335428193211555,0.0578117370605468,0.0720376744866371,0.0225942693650722,0.0201476067304611
6,0.0111353816464543,0.0163421854376792,0.0179274603724479,0.0280924923717975,0.0537791214883327,0.0397905595600605,0.0324491672217845,0.0632029771804809,0.190304547548294,0.0240085236728191,0.0220995899289846
7,0.0111031299456954,0.0149545222520828,0.0191736500710248,0.0172751024365425,0.02532310038805,0.0473657846450805,0.0284425746649503,0.0293236207216978,0.019252335652709,0.2457590401172638,0.0398187786340713
8,0.0112603539600968,0.0243127886205911,0.0271239560097455,0.0375007726252079,0.0278550181537866,0.0247687604278326,0.0412305928766727,0.0207377895712852,0.0606615915894508,0.0250181276351213,0.0187036544084548
9,0.0108996015042066,0.0144213261082768,0.0146072842180728,0.0170103199779987,0.0197973772883415,0.0317162200808525,0.0178309511393308,0.0274124424904584,0.0211609359830617,0.0758205652236938,0.0236794203519821
10,0.0113948434591293,0.0171260386705398,0.0303884930908679,0.0614241175353527,0.0210412237793207,0.0238891281187534,0.0231347810477018,0.0190480705350637,0.0265384633094072,0.0342548675835132,0.0184546746313571
11,0.0108433775603771,0.0166172496974468,0.0168580058962106,0.0174294207245111,0.0165287964046001,0.0222749710083007,0.0211398843675851,0.0544020496308803,0.0263448599725961,0.0203638169914484,0.0167017839848995
12,0.0121723720803856,0.0154723627492785,0.0210741143673658,0.0166422706097364,1.0699509382247925,0.0232513025403022,0.0227552950382232,0.017044898122549,0.0273530334234237,0.0194966066628694,0.7095816731452942
13,0.0112635819241404,0.0149342427030205,0.015773668885231,0.0162009205669164,0.0186022948473691,0.0328875035047531,0.0182453710585832,0.0977629721164703,0.0520490817725658,0.0234635975211858,0.019545504823327
