eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.011293742122749436,0.000409720961226573,0.011161666368910361,0.0114543141261674,30
10,0.01713082135344541,0.0033863734139648644,0.0160868006952417,0.018521386870027776,30
20,0.020557471985618227,0.005157525738823428,0.01881903032151355,0.022515766946598823,30
30,0.03833545135955012,0.06957580852438844,0.022660791461045493,0.06582839086341356,30
40,0.0622685423120856,0.18736885877526235,0.02496098008317246,0.13385993392982828,30
50,0.030121034073332904,0.011803636733688306,0.026231541787274142,0.034723541323716405,30
60,0.03291021476810172,0.03604338601380662,0.023154315790937543,0.04789260421879585,30
70,0.03320220283543067,0.01889850864460752,0.027021958455443345,0.040672624434810095,30
80,0.06883588780959445,0.10460820926883987,0.03817526111068821,0.11155513176228847,30
90,0.053430216355870135,0.09288948366315242,0.028089477725637406,0.09195074399079503,30
100,0.05995735678200917,0.12694304873743947,0.02813013652494793,0.11301052023656664,30
