eval_year,avg,min,max,n_runs
0,0.01125339807809458,0.0108573101460933,0.0128737399354577,30
10,0.01674625530306778,0.0144213261082768,0.0311495475471019,30
20,0.020269818071808082,0.015773668885231,0.0345619693398475,30
30,0.02595206429915764,0.0153800342231988,0.408624917268753,30
40,0.02792168129235501,0.0165287964046001,1.0699509382247925,30
50,0.02907442115247246,0.0182166676968336,0.0722512602806091,30
60,0.027123466566471056,0.0154621424153447,0.2132811397314071,30
70,0.0316028229093977,0.0158230923116207,0.0977629721164703,30
80,0.053636451717466074,0.018404109403491,0.5453624129295349,30
90,0.03884180562038502,0.0175026729702949,0.5002973079681396,30
100,0.03834686375090048,0.0167017839848995,0.7095816731452942,30
