augmentation_idx,avg,min,max
0,0.05743722120920817,0.05541139841079712,0.066651850938797
1,0.07009378944834073,0.060157787054777145,0.08685950934886932
2,0.0550055131316185,0.04275797680020332,0.07494047284126282
3,0.060601686437924705,0.05636081099510193,0.06523913890123367
4,0.07558125505844752,0.06950221955776215,0.08237235993146896
5,0.08612804114818573,0.0786052867770195,0.10365159809589386
6,0.08432933688163757,0.08236365765333176,0.08677835762500763
7,0.0870402604341507,0.0702458843588829,0.11000055074691772
8,0.09292743851741155,0.0809057429432869,0.11045603454113007
9,0.10073009133338928,0.08463756740093231,0.17059014737606049
10,0.0874582255880038,0.06662111729383469,0.12657825648784637
