index,avg,min,max,experiment,source_file
0,0.1508873403072357,0.1508873403072357,0.1708350926637649,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
1,0.1253818720579147,0.1253818720579147,0.1558426320552826,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
2,0.2128558307886123,0.2128558307886123,0.2510356903076172,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
3,0.2305456399917602,0.2305456399917602,0.2339371889829635,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
4,0.2003896981477737,0.2003896981477737,0.234466552734375,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
5,0.2234290391206741,0.2234290391206741,0.2278250902891159,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
6,0.2071419060230255,0.2071419060230255,0.2944059073925018,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
7,0.2709897458553314,0.2709897458553314,0.3451392352581024,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
8,0.3172914683818817,0.3172914683818817,0.3257746398448944,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
9,0.2781189680099487,0.2781189680099487,0.3425778746604919,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
10,0.3083769381046295,0.3083769381046295,0.3224121034145355,TATR,fts-diffusion-ref/res/res_tatr_summary.csv
0,0.2959097623825073,0.2959097623825073,0.3488854467868805,TMTR,fts-diffusion-ref/res/res_tmtr_summary.csv
1,0.311719000339508,0.311719000339508,0.3164093196392059,TMTR,fts-diffusion-ref/res/res_tmtr_summary.csv
2,0.3299134075641632,0.3299134075641632,0.4258332848548889,TMTR,fts-diffusion-ref/res/res_tmtr_summary.csv
3,0.4419459700584411,0.4419459700584411,0.4556171596050262,TMTR,fts-diffusion-ref/res/res_tmtr_summary.csv
4,0.4973145425319671,0.4973145425319671,0.5478828549385071,TMTR,fts-diffusion-ref/res/res_tmtr_summary.csv
