synthetic_proportion_pct,avg,min,max
0,0.14698458276689053,0.10882505029439926,0.24368779361248016
10,0.14188686665147543,0.11349160969257355,0.2376176118850708
20,0.16471965797245502,0.12825728952884674,0.2497926652431488
30,0.1735319010913372,0.11533211171627045,0.3782952129840851
40,0.26954648457467556,0.19957780838012695,0.4366361200809479
50,0.293345395475626,0.14893783628940582,0.4750773310661316
60,0.3787181694060564,0.2140510529279709,0.4949778616428375
70,0.4296959228813648,0.27637046575546265,0.47508856654167175
80,0.4576108120381832,0.34691905975341797,0.49880582094192505
90,0.49387725815176964,0.48960787057876587,0.49954846501350403
100,0.4976370334625244,0.49118712544441223,0.5069629549980164
