eval_year,avg,min,max,n_runs
0,0.06129481563610687,0.0470167994499206,0.0809758752584457,30
10,0.09394100042326105,0.0725948438048362,0.1390738934278488,30
20,0.09815856468464644,0.0683974400162696,0.1205186918377876,30
30,0.09534776636532372,0.065921202301979,0.1287898123264312,30
40,0.09797407340790541,0.0729126408696174,0.136165365576744,30
50,0.09753418820244922,0.0734785795211792,0.1247558817267417,30
60,0.09624119129564078,0.0749047100543975,0.122189961373806,30
70,0.10151527928454532,0.0777702927589416,0.1379990577697754,30
80,0.10162878941212379,0.0838849246501922,0.1301486045122146,30
90,0.09860637065555365,0.0781314745545387,0.1221306771039962,30
100,0.10278526108179768,0.0772445350885391,0.1349130719900131,30
