pattern,series_length,n_segments_real,n_segments_sisc,per_unit_dtw,boundary_jaccard_tol2,paper_per_unit_dtw,paper_boundary_jaccard
0,2541,169,149,0.02140907539909435,0.3852813852813853,0.009,0.938
1,2429,164,163,0.03038822609059158,0.8693181818181818,0.009,0.938
2,2412,162,136,0.033801879078454194,0.13636363636363635,0.009,0.938
3,2618,173,175,0.05952594734712149,0.49572649572649574,0.009,0.938
