eval_year,avg,min,max,n_runs
0,0.011440683389082511,0.0110090244561433,0.0129558285698294,30
10,0.019831893566463626,0.016842883080244,0.0245461165904998,30
20,0.021848967897572645,0.0196653790771961,0.0267243105918169,30
30,0.0240524501007582,0.020471116527915,0.0267590098083019,30
40,0.02586328271510341,0.0219003614038229,0.0296703800559043,30
50,0.027050875326884598,0.0233978647738695,0.0357154048979282,30
60,0.029189708642661523,0.0247163474559783,0.0362480543553829,30
70,0.03194442511137039,0.0275162756443023,0.039736695587635,30
80,0.032263257274670214,0.0285783354192972,0.0397356525063514,30
90,0.03384142981043879,0.0293752178549766,0.0390448905527591,30
100,0.03444900124200748,0.0271441396325826,0.0440455190837383,30
