,0
51,[268.75 272.5  275.25 277.25 276.   277.   281.25 276.25 270.75 270.  ]
52,"[276.25 271.25 273.   270.25 275.25 279.   284.25 280.   284.25 281.25
 282.5  284.   279.75 284.75 284.75 287.25 290.75 291.75]"
53,"[296.   296.25 296.   289.5  290.5  290.75 290.5  286.5  295.   291.75
 293.   295.5  307.5  305.25 308.25 312.   312.   318.5 ]"
54,[315.75 309.5  306.75 305.5  305.   312.25 320.   325.75 330.5  329.5 ]
55,"[326.75 330.   330.5  322.25 311.75 316.5  307.5  314.5  311.25 309.25
 304.   304.   303.5  301.25]"
56,"[309.25 308.25 314.   316.5  318.   317.75 314.25 305.75 307.   295.5
 296.   294.5  289.75 286.5 ]"
57,"[295.25 292.   298.5  292.25 290.   296.   303.75 300.75 298.75 304.
 324.   321.75 310.75 308.25 300.25 297.   297.5  285.75 285.75 288.25
 280.25]"
58,"[281.5  277.75 274.5  274.5  267.75 274.5  273.25 276.25 271.25 268.
 257.5  257.5  255.25 249.5 ]"
59,"[249.5  244.5  242.25 244.5  241.75 242.   242.5  239.   237.   234.
 226.25 219.25]"
60,[223.75 223.25 222.25 218.5  218.5  217.25 218.25 219.25 221.25 224.  ]
61,"[225.75 227.   224.5  220.75 218.   217.75 222.25 228.5  225.5  229.25
 231.25 234.25]"
62,"[232.25 228.   225.25 220.25 224.5  227.75 233.5  227.75 223.5  219.25
 217.   217.5  210.75 210.25 206.5 ]"
63,"[218.5  216.25 215.25 212.75 212.75 210.25 207.75 205.25 207.75 208.5
 207.25 205.5 ]"
64,"[206.   202.75 204.5  207.25 206.   204.5  204.75 202.5  205.25 204.25
 206.75]"
65,"[204.   207.   206.   204.25 201.75 205.25 206.75 206.25 206.25 202.5
 200.   199.75 199.   197.5 ]"
66,[199.5  198.   198.   198.25 197.25 200.   202.5  203.   205.75 204.  ]
67,"[199.25 197.5  198.   197.75 197.   193.25 192.5  191.5  192.5  196.25
 197.75]"
68,"[193.75 195.5  194.75 193.5  197.25 195.   205.   203.5  204.5  206.5
 205.75 205.5  207.   207.5  207.   203.25]"
69,"[204.75 204.75 201.75 201.   201.5  208.75 206.75 206.75 206.75 200.5
 200.   197.25 196.  ]"
70,"[196.75 197.75 197.   197.75 199.   198.75 195.75 195.75 197.   197.
 195.25 195.   195.   196.25 194.75 195.   198.25 198.25 200.5 ]"
71,"[200.   197.   199.25 200.   207.5  205.75 205.75 211.5  214.5  211.
 210.25 209.5  209.   205.5  206.75 209.25 212.5  217.5  214.5  228.5 ]"
72,"[225.5  223.5  219.75 214.5  214.   210.75 210.5  212.75 213.   212.5
 213.   212.75 209.75 205.5  207.25 205.5  204.  ]"
73,"[205.75 206.75 205.75 207.5  206.25 204.25 209.5  210.75 211.25 209.25
 213.25]"
74,"[213.   208.25 204.5  204.75 200.5  197.   198.   199.75 200.5  199.75
 200.25 198.25 196.25 195.25]"
75,[207.   207.5  210.75 209.5  213.25 224.5  221.25 222.75 225.   221.25]
76,"[222.   224.5  217.   218.25 220.75 220.25 216.   215.5  210.   215.
 219.   224.25 225.75 229.   235.5 ]"
77,"[232.25 229.5  226.5  232.75 221.5  218.5  216.5  212.25 216.5  231.
 230.75 233.75 226.25 226.75 227.   237.25 245.25 257.75]"
78,"[260.   248.5  241.5  234.   233.5  230.5  234.25 236.5  241.   236.5
 231.75 232.5 ]"
79,"[227.   224.5  220.5  222.   218.75 223.   225.   217.75 210.5  209.5
 213.   211.25 210.25 212.5  210.5  208.75 206.25 203.75]"
80,"[204.75 203.5  201.5  207.75 203.5  207.5  204.25 202.75 203.   198.5
 198.5  195.  ]"
81,[206.5  206.25 206.25 206.75 206.5  208.25 207.25 204.5  203.25 203.25]
82,"[203.5  205.5  208.75 205.75 204.75 204.25 202.5  202.   202.5  205.75
 203.5  203.5  203.75 202.   201.75 202.75 201.5  199.5 ]"
83,"[199.5  198.25 197.75 197.   196.25 196.75 196.   196.25 195.5  194.75
 195.25 195.25 193.75]"
84,"[195.5  196.75 195.75 192.75 192.25 191.25 191.5  191.5  190.75 190.75
 189.75]"
85,"[187.75 186.25 187.5  189.25 189.75 193.5  190.75 187.   188.25 189.75
 194.25 195.5  194.25 204.75 207.5  208.75 209.75 210.   212.75 214.
 215.5 ]"
86,"[216.25 211.   215.75 220.   218.25 215.5  214.25 211.   213.25 214.5
 212.75 213.5  208.75 205.75 205.  ]"
87,"[205.   208.25 213.25 216.5  217.   218.75 217.75 218.75 216.5  220.5
 225.25]"
88,[222.75 218.   221.25 225.5  221.25 220.75 218.75 222.   223.5  226.5 ]
89,"[226.   221.5  223.   227.75 227.5  228.   224.25 228.5  228.75 223.
 221.   219.  ]"
90,"[223.25 226.   220.5  218.75 229.25 224.5  221.5  218.25 223.5  222.5
 219.25 218.75 221.75 222.25 224.25 227.75 236.   236.5  234.5  236.25
 241.5 ]"
91,"[243.   241.25 242.   237.   236.25 236.5  239.25 238.5  235.75 236.5
 232.75 231.  ]"
92,"[231.5  231.25 238.25 238.   233.25 232.25 229.75 230.75 227.   228.5
 230.   237.75 248.25 260.   259.   263.  ]"
93,"[260.25 252.75 254.5  253.   249.5  253.25 254.   254.5  251.25 254.5
 259.5  253.   247.75 251.   245.5  242.   247.5  243.25 237.   233.  ]"
94,"[235.5  229.75 229.75 232.75 230.5  228.25 223.   225.25 226.   228.5
 235.5  243.25 239.5  245.25 241.   247.75 253.75]"
95,"[259.25 252.5  253.5  251.75 246.5  244.75 242.5  237.25 239.   239.5
 236.  ]"
96,"[237.75 237.25 239.   240.5  247.25 245.   245.   239.75 235.75 239.75
 238.75 224.75 222.   222.   221.5  219.  ]"
97,[219.75 221.   219.5  223.5  227.5  225.   224.5  222.75 228.5  232.  ]
98,"[230.   228.75 226.25 230.75 231.75 228.75 223.5  224.   223.   241.75
 247.75 246.5  249.   257.25 255.25 254.75 259.   253.75 264.25 262.5
 267.75]"
99,"[264.   274.25 271.75 271.   289.5  275.5  284.   298.25 314.5  316.75
 321.  ]"
100,"[315.5  316.   312.75 318.25 324.25 327.   327.   332.5  329.5  320.75
 333.5  344.75 342.25 343.5  351.   357.75]"
