stage,seed,protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tmtr_continuous_offsets,42,tmtr_continuous_offset50,10,1134,0.156877726316452,8.356,0.038433238863945,308.18242478029134
tmtr_continuous_offsets,42,tmtr_continuous_offset50,20,1134,0.3793111145496368,8.279,0.038433238863945,886.935074330871
tmtr_continuous_offsets,42,tmtr_continuous_offset50,30,1134,0.3639711439609527,8.343,0.038433238863945,847.0217830181401
tmtr_continuous_offsets,42,tmtr_continuous_offset50,40,1134,0.3704559206962585,8.26,0.038433238863945,863.8946173849289
tmtr_continuous_offsets,42,tmtr_continuous_offset50,50,1134,0.3181604743003845,8.435,0.038433238863945,727.826339140148
tmtr_continuous_offsets,42,tmtr_continuous_offset50,60,1134,0.2075347751379013,8.278,0.038433238863945,439.98773268259174
tmtr_continuous_offsets,42,tmtr_continuous_offset50,70,1134,0.2271902561187744,8.303,0.038433238863945,491.1296128932452
tmtr_continuous_offsets,42,tmtr_continuous_offset50,80,1134,0.2290018796920776,8.332,0.038433238863945,495.84330246730497
tmtr_continuous_offsets,42,tmtr_continuous_offset50,90,1134,0.5487973690032959,8.341,0.038433238863945,1327.9238108088095
tmtr_continuous_offsets,42,tmtr_continuous_offset50,100,1197,0.5937190651893616,8.522,0.038433238863945,1444.8062217476588
tmtr_reference,43,tmtr_reference,0,1197,0.0854933485388755,8.564,0.0854933485388755,0.0
tmtr_reference,43,tmtr_reference,10,1134,0.1017831936478614,8.287,0.0854933485388755,19.053932718027287
tmtr_reference,43,tmtr_reference,20,1134,0.1125493571162223,8.372,0.0854933485388755,31.646916444083256
tmtr_reference,43,tmtr_reference,30,1134,0.2284728437662124,8.329,0.0854933485388755,167.24049024974303
tmtr_reference,43,tmtr_reference,40,1134,0.1782590895891189,8.268,0.0854933485388755,108.50638398852865
tmtr_reference,43,tmtr_reference,50,1134,0.0702732726931572,8.309,0.0854933485388755,-17.802643253349043
tmtr_reference,43,tmtr_reference,60,1134,0.1185391545295715,8.394,0.0854933485388755,38.65307249682638
tmtr_reference,43,tmtr_reference,70,1134,0.0534118115901947,8.297,0.0854933485388755,-37.525184703804996
tmtr_reference,43,tmtr_reference,80,1134,0.4889033138751983,8.302,0.0854933485388755,471.8612292427456
tmtr_reference,43,tmtr_reference,90,1134,0.4905208647251129,8.33,0.0854933485388755,473.7532487712345
tmtr_reference,43,tmtr_reference,100,1197,0.4948535561561584,8.517,0.0854933485388755,478.8211183834246
tmtr_continuous_offsets,43,tmtr_continuous_offset30,0,1197,0.048197578638792,8.562,0.048197578638792,0.0
tmtr_continuous_offsets,43,tmtr_continuous_offset30,10,1134,0.086157277226448,8.259,0.048197578638792,78.75851787521955
tmtr_continuous_offsets,43,tmtr_continuous_offset30,20,1134,0.0536233000457286,8.349,0.048197578638792,11.257248932770421
tmtr_continuous_offsets,43,tmtr_continuous_offset30,30,1134,0.1399721503257751,8.355,0.048197578638792,190.41324124344698
tmtr_continuous_offsets,43,tmtr_continuous_offset30,40,1134,0.1548037528991699,8.267,0.048197578638792,221.1857468179439
tmtr_continuous_offsets,43,tmtr_continuous_offset30,50,1134,0.1090217307209968,8.347,0.048197578638792,126.19752651484913
tmtr_continuous_offsets,43,tmtr_continuous_offset30,60,1134,0.3621062636375427,8.325,0.048197578638792,651.2955502418126
tmtr_continuous_offsets,43,tmtr_continuous_offset30,70,1134,0.1234881356358528,8.288,0.048197578638792,156.21232253452442
tmtr_continuous_offsets,43,tmtr_continuous_offset30,80,1134,0.3820084035396576,8.284,0.048197578638792,692.5883713008701
tmtr_continuous_offsets,43,tmtr_continuous_offset30,90,1134,0.0912965685129165,8.372,0.048197578638792,89.42148359178381
tmtr_continuous_offsets,43,tmtr_continuous_offset30,100,1197,0.0797746926546096,8.516,0.048197578638792,65.51597592166722
tmtr_continuous_offsets,43,tmtr_continuous_offset50,0,1197,0.0962862595915794,8.623,0.0962862595915794,0.0
tmtr_continuous_offsets,43,tmtr_continuous_offset50,10,1134,0.189657911658287,8.27,0.0962862595915794,96.972976687188
tmtr_continuous_offsets,43,tmtr_continuous_offset50,20,1134,0.2894696295261383,8.354,0.0962862595915794,200.63441113404053
tmtr_continuous_offsets,43,tmtr_continuous_offset50,30,1134,0.1886128634214401,8.31,0.0962862595915794,95.88762116368991
tmtr_continuous_offsets,43,tmtr_continuous_offset50,40,1134,0.4684616327285766,8.311,0.0962862595915794,386.530097560821
tmtr_continuous_offsets,43,tmtr_continuous_offset50,50,1134,0.2281130403280258,8.39,0.0962862595915794,136.9113114328258
tmtr_continuous_offsets,43,tmtr_continuous_offset50,60,1134,0.2358028590679168,8.264,0.0962862595915794,144.89772483439438
tmtr_continuous_offsets,43,tmtr_continuous_offset50,70,1134,0.4771119058132171,8.364,0.0962862595915794,395.51400982549166
tmtr_continuous_offsets,43,tmtr_continuous_offset50,80,1134,0.3310544788837433,8.299,0.0962862595915794,243.82317922410527
tmtr_continuous_offsets,43,tmtr_continuous_offset50,90,1134,0.5945739150047302,8.387,0.0962862595915794,517.5065035517571
tmtr_continuous_offsets,43,tmtr_continuous_offset50,100,1197,0.5932071805000305,8.523,0.0962862595915794,516.0870543899587
tmtr_reference,44,tmtr_reference,0,1197,0.091343879699707,8.609,0.091343879699707,0.0
tmtr_reference,44,tmtr_reference,10,1134,0.1450442671775818,8.323,0.091343879699707,58.78925621991841
tmtr_reference,44,tmtr_reference,20,1134,0.1405934989452362,8.277,0.091343879699707,53.91671495390531
tmtr_reference,44,tmtr_reference,30,1134,0.1350429207086563,8.355,0.091343879699707,47.84014118144522
tmtr_reference,44,tmtr_reference,40,1134,0.1585422307252884,8.263,0.091343879699707,73.56634209811972
tmtr_reference,44,tmtr_reference,50,1134,0.1137168332934379,8.262,0.091343879699707,24.493106344160093
tmtr_reference,44,tmtr_reference,60,1134,0.0872773230075836,8.379,0.091343879699707,-4.451920266023519
tmtr_reference,44,tmtr_reference,70,1134,0.4392749965190887,8.274,0.091343879699707,380.902495014669
tmtr_reference,44,tmtr_reference,80,1134,0.4870007336139679,8.27,0.091343879699707,433.1509185015818
tmtr_reference,44,tmtr_reference,90,1134,0.4953317642211914,8.265,0.091343879699707,442.2714317035739
tmtr_reference,44,tmtr_reference,100,1197,0.4752146005630493,8.605,0.091343879699707,420.2478831918649
tmtr_continuous_offsets,44,tmtr_continuous_offset30,0,1197,0.0948690697550773,8.425,0.0948690697550773,0.0
tmtr_continuous_offsets,44,tmtr_continuous_offset30,10,1134,0.1393235772848129,8.095,0.0948690697550773,46.85879986438513
tmtr_continuous_offsets,44,tmtr_continuous_offset30,20,1134,0.1420803368091583,8.077,0.0948690697550773,49.764656885501175
tmtr_continuous_offsets,44,tmtr_continuous_offset30,30,1134,0.1106698289513588,8.173,0.0948690697550773,16.655332699133847
tmtr_continuous_offsets,44,tmtr_continuous_offset30,40,1134,0.1511704921722412,8.125,0.0948690697550773,59.34644722723309
tmtr_continuous_offsets,44,tmtr_continuous_offset30,50,1134,0.0345988608896732,8.233,0.0948690697550773,-63.529882838530206
tmtr_continuous_offsets,44,tmtr_continuous_offset30,60,1134,0.1810820549726486,8.333,0.0948690697550773,90.87575691439437
tmtr_continuous_offsets,44,tmtr_continuous_offset30,70,1134,0.2387875616550445,8.214,0.0948690697550773,151.70222736611666
tmtr_continuous_offsets,44,tmtr_continuous_offset30,80,1134,0.3596863746643066,8.261,0.0948690697550773,279.13977189078156
tmtr_continuous_offsets,44,tmtr_continuous_offset30,90,1134,0.0889353677630424,8.292,0.0948690697550773,-6.254622299295125
tmtr_continuous_offsets,44,tmtr_continuous_offset30,100,1197,0.0611028485000133,8.582,0.0948690697550773,-35.5924447686037
tmtr_continuous_offsets,44,tmtr_continuous_offset50,0,1197,0.0693080350756645,8.538,0.0693080350756645,0.0
tmtr_continuous_offsets,44,tmtr_continuous_offset50,10,1134,0.4891729652881622,8.298,0.0693080350756645,605.7954604457124
tmtr_continuous_offsets,44,tmtr_continuous_offset50,20,1134,0.2587564587593078,8.377,0.0693080350756645,273.34265569182554
tmtr_continuous_offsets,44,tmtr_continuous_offset50,30,1134,0.1810088902711868,8.271,0.0693080350756645,161.16580865923694
tmtr_continuous_offsets,44,tmtr_continuous_offset50,40,1134,0.2315196841955185,8.271,0.0693080350756645,234.04450716683186
tmtr_continuous_offsets,44,tmtr_continuous_offset50,50,1134,0.2557357549667358,8.271,0.0693080350756645,268.98428109748835
tmtr_continuous_offsets,44,tmtr_continuous_offset50,60,1134,0.412537932395935,8.354,0.0693080350756645,495.2238177659514
tmtr_continuous_offsets,44,tmtr_continuous_offset50,70,1134,0.4522997140884399,8.264,0.0693080350756645,552.5934743275557
tmtr_continuous_offsets,44,tmtr_continuous_offset50,80,1134,0.4845249056816101,8.277,0.0693080350756645,599.0890813058656
tmtr_continuous_offsets,44,tmtr_continuous_offset50,90,1134,0.5880913138389587,8.266,0.0693080350756645,748.5182319725723
tmtr_continuous_offsets,44,tmtr_continuous_offset50,100,1197,0.5933482050895691,8.607,0.0693080350756645,756.1030542011514
tmtr_reference,45,tmtr_reference,0,1197,0.0907023251056671,8.562,0.0907023251056671,0.0
tmtr_reference,45,tmtr_reference,10,1134,0.1045142784714698,8.271,0.0907023251056671,15.227783135340731
tmtr_reference,45,tmtr_reference,20,1134,0.1372835636138916,8.392,0.0907023251056671,51.35616805187511
tmtr_reference,45,tmtr_reference,30,1134,0.0869912281632423,8.322,0.0907023251056671,-4.091512470161509
