stage,seed,protocol,ahead,augmentation_blocks,synthetic_days,train_windows,mape,fit_seconds
tatr_continuous_chunked,44,continuous_chunked,1,100,25200,20097,0.018136097118258476,90.718
tatr_independent_fixed,44,independent_fixed,1,0,0,1197,0.06244280934333801,8.57
tatr_independent_fixed,44,independent_fixed,1,20,5040,4977,0.13106481730937958,20.45
tatr_independent_fixed,44,independent_fixed,1,40,10080,8757,0.18260422348976135,32.49
tatr_independent_fixed,44,independent_fixed,1,60,15120,12537,0.1818816363811493,45.995
tatr_independent_fixed,44,independent_fixed,1,80,20160,16317,0.23893728852272034,61.402
tatr_independent_fixed,44,independent_fixed,1,100,25200,20097,0.08558062463998795,94.432
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,0,0,1197,0.06355992704629898,8.65
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,20,5040,6237,0.04234817624092102,24.045
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,40,10080,11277,0.009916157461702824,41.709
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,60,15120,16317,0.010239705443382263,61.291
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,80,20160,21357,0.008486621081829071,103.729
tatr_continuous_refit,44,continuous_cross_refit_scaler,1,100,25200,26397,0.009968074969947338,128.016
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,0,0,1197,0.07088524848222733,8.097
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,20,5040,4977,0.06115039438009262,18.477
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,40,10080,8757,0.0300566665828228,29.895
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,60,15120,12537,0.012529967352747917,42.747
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,80,20160,16317,0.022577205672860146,56.872
tatr_continuous_chunked_5ahead,44,continuous_chunked,5,100,25200,20097,0.018548497930169106,86.033
tatr_continuous_chunked,45,continuous_chunked,1,0,0,1197,0.06050292029976845,8.642
tatr_continuous_chunked,45,continuous_chunked,1,10,2520,3087,0.13939489424228668,13.795
tatr_continuous_chunked,45,continuous_chunked,1,20,5040,4977,0.055272288620471954,20.035
tatr_continuous_chunked,45,continuous_chunked,1,30,7560,6867,0.011074580252170563,26.503
tatr_continuous_chunked,45,continuous_chunked,1,40,10080,8757,0.007474282290786505,32.837
tatr_continuous_chunked,45,continuous_chunked,1,50,12600,10647,0.010734078474342823,39.675
tatr_continuous_chunked,45,continuous_chunked,1,60,15120,12537,0.025785701349377632,46.276
tatr_continuous_chunked,45,continuous_chunked,1,70,17640,14427,0.01038295030593872,53.779
tatr_continuous_chunked,45,continuous_chunked,1,80,20160,16317,0.027506792917847633,61.024
tatr_continuous_chunked,45,continuous_chunked,1,90,22680,18207,0.026230463758111,84.436
tatr_continuous_chunked,45,continuous_chunked,1,100,25200,20097,0.025959979742765427,92.318
tatr_independent_fixed,45,independent_fixed,1,0,0,1197,0.07185021787881851,8.552
