stage,seed,protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds
tmtr_reference,44,tmtr_reference,90,1134,0.4953317642211914,8.265
tmtr_reference,44,tmtr_reference,100,1197,0.4752146005630493,8.605
tmtr_continuous_offsets,44,tmtr_continuous_offset30,0,1197,0.09486906975507736,8.425
tmtr_continuous_offsets,44,tmtr_continuous_offset30,10,1134,0.13932357728481293,8.095
tmtr_continuous_offsets,44,tmtr_continuous_offset30,20,1134,0.14208033680915833,8.077
tmtr_continuous_offsets,44,tmtr_continuous_offset30,30,1134,0.1106698289513588,8.173
tmtr_continuous_offsets,44,tmtr_continuous_offset30,40,1134,0.1511704921722412,8.125
tmtr_continuous_offsets,44,tmtr_continuous_offset30,50,1134,0.03459886088967323,8.233
tmtr_continuous_offsets,44,tmtr_continuous_offset30,60,1134,0.18108205497264862,8.333
tmtr_continuous_offsets,44,tmtr_continuous_offset30,70,1134,0.23878756165504456,8.214
tmtr_continuous_offsets,44,tmtr_continuous_offset30,80,1134,0.35968637466430664,8.261
tmtr_continuous_offsets,44,tmtr_continuous_offset30,90,1134,0.08893536776304245,8.292
tmtr_continuous_offsets,44,tmtr_continuous_offset30,100,1197,0.06110284850001335,8.582
tmtr_continuous_offsets,44,tmtr_continuous_offset50,0,1197,0.06930803507566452,8.538
tmtr_continuous_offsets,44,tmtr_continuous_offset50,10,1134,0.48917296528816223,8.298
tmtr_continuous_offsets,44,tmtr_continuous_offset50,20,1134,0.25875645875930786,8.377
tmtr_continuous_offsets,44,tmtr_continuous_offset50,30,1134,0.18100889027118683,8.271
tmtr_continuous_offsets,44,tmtr_continuous_offset50,40,1134,0.2315196841955185,8.271
tmtr_continuous_offsets,44,tmtr_continuous_offset50,50,1134,0.25573575496673584,8.271
tmtr_continuous_offsets,44,tmtr_continuous_offset50,60,1134,0.41253793239593506,8.354
tmtr_continuous_offsets,44,tmtr_continuous_offset50,70,1134,0.45229971408843994,8.264
tmtr_continuous_offsets,44,tmtr_continuous_offset50,80,1134,0.4845249056816101,8.277
tmtr_continuous_offsets,44,tmtr_continuous_offset50,90,1134,0.5880913138389587,8.266
tmtr_continuous_offsets,44,tmtr_continuous_offset50,100,1197,0.5933482050895691,8.607
tmtr_reference,45,tmtr_reference,0,1197,0.09070232510566711,8.562
tmtr_reference,45,tmtr_reference,10,1134,0.10451427847146988,8.271
tmtr_reference,45,tmtr_reference,20,1134,0.1372835636138916,8.392
tmtr_reference,45,tmtr_reference,30,1134,0.08699122816324234,8.322
tmtr_reference,45,tmtr_reference,40,1134,0.09351543337106705,8.306
tmtr_reference,45,tmtr_reference,50,1134,0.15574905276298523,8.342
tmtr_reference,45,tmtr_reference,60,1134,0.48651742935180664,8.395
tmtr_reference,45,tmtr_reference,70,1134,0.2809436023235321,8.279
tmtr_reference,45,tmtr_reference,80,1134,0.13635540008544922,8.311
tmtr_reference,45,tmtr_reference,90,1134,0.5022897720336914,8.32
tmtr_reference,45,tmtr_reference,100,1197,0.4959355294704437,8.559
tmtr_continuous_offsets,45,tmtr_continuous_offset30,0,1197,0.12251465022563934,8.564
tmtr_continuous_offsets,45,tmtr_continuous_offset30,10,1134,0.16176113486289978,8.285
tmtr_continuous_offsets,45,tmtr_continuous_offset30,20,1134,0.07006441056728363,8.374
tmtr_continuous_offsets,45,tmtr_continuous_offset30,30,1134,0.08454349637031555,8.331
tmtr_continuous_offsets,45,tmtr_continuous_offset30,40,1134,0.09169930219650269,8.343
tmtr_continuous_offsets,45,tmtr_continuous_offset30,50,1134,0.04062916338443756,8.289
tmtr_continuous_offsets,45,tmtr_continuous_offset30,60,1134,0.4165556728839874,8.399
tmtr_continuous_offsets,45,tmtr_continuous_offset30,70,1134,0.21864967048168182,8.275
tmtr_continuous_offsets,45,tmtr_continuous_offset30,80,1134,0.17738723754882812,8.268
tmtr_continuous_offsets,45,tmtr_continuous_offset30,90,1134,0.06027065962553024,8.423
tmtr_continuous_offsets,45,tmtr_continuous_offset30,100,1197,0.07611315697431564,8.6
tmtr_continuous_offsets,45,tmtr_continuous_offset50,0,1197,0.062260258942842484,8.707
tmtr_continuous_offsets,45,tmtr_continuous_offset50,10,1134,0.3835950195789337,8.315
tmtr_continuous_offsets,45,tmtr_continuous_offset50,20,1134,0.17008322477340698,8.352
tmtr_continuous_offsets,45,tmtr_continuous_offset50,30,1134,0.3773685395717621,8.324
tmtr_continuous_offsets,45,tmtr_continuous_offset50,40,1134,0.21526868641376495,8.339
tmtr_continuous_offsets,45,tmtr_continuous_offset50,50,1134,0.1758100986480713,8.359
tmtr_continuous_offsets,45,tmtr_continuous_offset50,60,1134,0.24030092358589172,8.279
tmtr_continuous_offsets,45,tmtr_continuous_offset50,70,1134,0.3212944567203522,8.285
tmtr_continuous_offsets,45,tmtr_continuous_offset50,80,1134,0.5695494413375854,8.273
tmtr_continuous_offsets,45,tmtr_continuous_offset50,90,1134,0.5865811705589294,8.322
tmtr_continuous_offsets,45,tmtr_continuous_offset50,100,1197,0.5926355123519897,8.528
tmtr_reference,46,tmtr_reference,0,1197,0.15385578572750092,8.599
tmtr_reference,46,tmtr_reference,10,1134,0.09842411428689957,8.384
tmtr_reference,46,tmtr_reference,20,1134,0.15944726765155792,8.294
tmtr_reference,46,tmtr_reference,30,1134,0.14756304025650024,8.343
tmtr_reference,46,tmtr_reference,40,1134,0.08214373886585236,8.293
tmtr_reference,46,tmtr_reference,50,1134,0.3009449541568756,8.267
tmtr_reference,46,tmtr_reference,60,1134,0.2438364177942276,8.339
tmtr_reference,46,tmtr_reference,70,1134,0.37741565704345703,8.279
tmtr_reference,46,tmtr_reference,80,1134,0.37934863567352295,8.291
tmtr_reference,46,tmtr_reference,90,1134,0.4819546341896057,8.287
tmtr_reference,46,tmtr_reference,100,1197,0.4997527301311493,8.585
tmtr_continuous_offsets,46,tmtr_continuous_offset30,0,1197,0.07717432826757431,8.533
tmtr_continuous_offsets,46,tmtr_continuous_offset30,10,1134,0.17390313744544983,8.337
tmtr_continuous_offsets,46,tmtr_continuous_offset30,20,1134,0.09211238473653793,8.301
tmtr_continuous_offsets,46,tmtr_continuous_offset30,30,1134,0.11212091147899628,8.319
tmtr_continuous_offsets,46,tmtr_continuous_offset30,40,1134,0.13548710942268372,8.315
tmtr_continuous_offsets,46,tmtr_continuous_offset30,50,1134,0.2142966389656067,8.267
tmtr_continuous_offsets,46,tmtr_continuous_offset30,60,1134,0.29889294505119324,8.382
tmtr_continuous_offsets,46,tmtr_continuous_offset30,70,1134,0.4487045407295227,8.361
tmtr_continuous_offsets,46,tmtr_continuous_offset30,80,1134,0.16208085417747498,8.29
tmtr_continuous_offsets,46,tmtr_continuous_offset30,90,1134,0.07561969012022018,8.272
tmtr_continuous_offsets,46,tmtr_continuous_offset30,100,1197,0.049064166843891144,8.61
tmtr_continuous_offsets,46,tmtr_continuous_offset50,0,1197,0.09859483689069748,8.528
tmtr_continuous_offsets,46,tmtr_continuous_offset50,10,1134,0.3007701337337494,8.264
tmtr_continuous_offsets,46,tmtr_continuous_offset50,20,1134,0.24019034206867218,8.348
tmtr_continuous_offsets,46,tmtr_continuous_offset50,30,1134,0.15261192619800568,8.293
tmtr_continuous_offsets,46,tmtr_continuous_offset50,40,1134,0.4275369942188263,8.276
tmtr_continuous_offsets,46,tmtr_continuous_offset50,50,1134,0.281602144241333,8.278
tmtr_continuous_offsets,46,tmtr_continuous_offset50,60,1134,0.286765992641449,8.382
tmtr_continuous_offsets,46,tmtr_continuous_offset50,70,1134,0.23338918387889862,8.283
tmtr_continuous_offsets,46,tmtr_continuous_offset50,80,1134,0.5184960961341858,8.321
tmtr_continuous_offsets,46,tmtr_continuous_offset50,90,1134,0.5699145793914795,8.319
tmtr_continuous_offsets,46,tmtr_continuous_offset50,100,1197,0.5937798619270325,8.655
tmtr_reference,47,tmtr_reference,0,1197,0.10818545520305634,8.558
tmtr_reference,47,tmtr_reference,10,1134,0.11419917643070221,8.219
tmtr_reference,47,tmtr_reference,20,1134,0.08018960803747177,8.246
tmtr_reference,47,tmtr_reference,30,1134,0.12871918082237244,8.35
tmtr_reference,47,tmtr_reference,40,1134,0.2088015079498291,8.21
tmtr_reference,47,tmtr_reference,50,1134,0.17729289829730988,8.236
tmtr_reference,47,tmtr_reference,60,1134,0.4412837624549866,8.334
tmtr_reference,47,tmtr_reference,70,1134,0.2956528961658478,8.26
tmtr_reference,47,tmtr_reference,80,1134,0.4805527627468109,8.212
tmtr_reference,47,tmtr_reference,90,1134,0.4937175512313843,8.21
tmtr_reference,47,tmtr_reference,100,1197,0.4976821839809418,8.569
tmtr_continuous_offsets,47,tmtr_continuous_offset30,0,1197,0.08448445796966553,8.461
tmtr_continuous_offsets,47,tmtr_continuous_offset30,10,1134,0.14059676229953766,8.23
tmtr_continuous_offsets,47,tmtr_continuous_offset30,20,1134,0.06265643239021301,8.319
tmtr_continuous_offsets,47,tmtr_continuous_offset30,30,1134,0.10262957215309143,8.22
tmtr_continuous_offsets,47,tmtr_continuous_offset30,40,1134,0.11695154756307602,8.218
tmtr_continuous_offsets,47,tmtr_continuous_offset30,50,1134,0.2735295295715332,8.345
tmtr_continuous_offsets,47,tmtr_continuous_offset30,60,1134,0.17771528661251068,8.277
tmtr_continuous_offsets,47,tmtr_continuous_offset30,70,1134,0.11064068973064423,8.243
tmtr_continuous_offsets,47,tmtr_continuous_offset30,80,1134,0.14319851994514465,8.252
tmtr_continuous_offsets,47,tmtr_continuous_offset30,90,1134,0.039377253502607346,8.222
tmtr_continuous_offsets,47,tmtr_continuous_offset30,100,1197,0.06992406398057938,8.525
tmtr_continuous_offsets,47,tmtr_continuous_offset50,0,1197,0.10928860306739807,8.495
tmtr_continuous_offsets,47,tmtr_continuous_offset50,10,1134,0.1643657237291336,8.212
tmtr_continuous_offsets,47,tmtr_continuous_offset50,20,1134,0.39351266622543335,8.287
tmtr_continuous_offsets,47,tmtr_continuous_offset50,30,1134,0.37483566999435425,8.281
tmtr_continuous_offsets,47,tmtr_continuous_offset50,40,1134,0.3593309223651886,8.269
tmtr_continuous_offsets,47,tmtr_continuous_offset50,50,1134,0.27533137798309326,8.206
tmtr_continuous_offsets,47,tmtr_continuous_offset50,60,1134,0.2176336944103241,8.323
tmtr_continuous_offsets,47,tmtr_continuous_offset50,70,1134,0.351025253534317,8.234
tmtr_continuous_offsets,47,tmtr_continuous_offset50,80,1134,0.48328015208244324,8.258
tmtr_continuous_offsets,47,tmtr_continuous_offset50,90,1134,0.37668466567993164,8.247
tmtr_continuous_offsets,47,tmtr_continuous_offset50,100,1197,0.5908096432685852,8.547
