eval_year,avg,min,max,n_runs
0,0.011617016080500786,0.0105869499966502,0.0140887992456555,30
10,0.019609021488577072,0.0148533442988991,0.0343142226338386,30
20,0.029562493653169652,0.0194141194224357,0.0606693029403686,30
30,0.04117310832121537,0.0261563435196876,0.0912510827183723,30
40,0.05418633935706953,0.0269745085388422,0.0939417108893394,30
50,0.06607212844703873,0.0286260582506656,0.1892315298318863,30
60,0.07581931505618347,0.0304043386131525,0.1924250125885009,30
70,0.09127359384936942,0.0327306911349296,0.2434519976377487,30
80,0.1152855466519083,0.0383062399923801,0.2370804399251938,30
90,0.11982127598353791,0.0360431596636772,0.234133094549179,30
100,0.1180710047483444,0.0355317369103431,0.2372799068689346,30
