run_idx,0,10,20,30,40,50,60,70,80,90,100
0,0.0110057806596159,0.0199527237564325,0.0194141194224357,0.0436663813889026,0.0344083793461322,0.0513921342790126,0.0304043386131525,0.0327306911349296,0.0710695311427116,0.0649318620562553,0.0894547551870346
1,0.0109388781711459,0.0154626164585351,0.0195080190896987,0.0261563435196876,0.0852419361472129,0.0777312144637107,0.0342688970267772,0.029416911303997,0.1264530569314956,0.0867508128285408,0.0367153361439704
2,0.0113040124997496,0.016328427940607,0.0409091003239154,0.0360751003026962,0.0561327077448368,0.1061976552009582,0.0686314553022384,0.0484436750411987,0.1113355532288551,0.0360431596636772,0.2140447497367859
3,0.0124820852652192,0.0209345836192369,0.0335083529353141,0.0417466089129447,0.0836286470293998,0.0421678349375724,0.0797174870967865,0.0710465312004089,0.1988959163427353,0.0726935192942619,0.0340000949800014
4,0.0109396111220121,0.0343142226338386,0.0295334681868553,0.0314528159797191,0.0517540909349918,0.0460661016404628,0.0916347876191139,0.0864722654223442,0.0599433630704879,0.066192053258419,0.2316826581954956
5,0.010919046588242,0.0202260091900825,0.0228756982833147,0.0663661584258079,0.043423481285572,0.0845785588026046,0.1754218339920044,0.0868084728717804,0.0826995745301246,0.139633297920227,0.1934468746185302
6,0.0121552171185612,0.0194638054817914,0.0461780354380607,0.0290777776390314,0.0306855700910091,0.0353198088705539,0.0322730839252471,0.2434519976377487,0.0855218023061752,0.1750495731830597,0.0675039440393447
7,0.010966251604259,0.0160570703446865,0.0395135395228862,0.0409593805670738,0.0488019436597824,0.1577399224042892,0.1522430628538131,0.0613685771822929,0.2093432694673538,0.1169942766427993,0.0807511433959007
8,0.0111065553501248,0.0237076729536056,0.0372725054621696,0.0658969134092331,0.0736129283905029,0.0355887822806835,0.0483488738536834,0.0617423802614212,0.1975016891956329,0.0420492365956306,0.0355317369103431
9,0.0140887992456555,0.022305455058813,0.042471919208765,0.0269264187663793,0.0269745085388422,0.0442415028810501,0.0850516334176063,0.0747371315956115,0.1511952579021453,0.1902389526367187,0.2208740562200546
10,0.0114333191886544,0.0247742962092161,0.0430000908672809,0.053517710417509,0.0504268519580364,0.0543432310223579,0.0297113060951232,0.0365589521825313,0.0632910132408142,0.1683022826910019,0.1614825874567031
11,0.0124394558370113,0.0173713061958551,0.0378347411751747,0.0411823727190494,0.0509488210082054,0.0286260582506656,0.0768714100122451,0.0689537823200225,0.0871325954794883,0.0342229567468166,0.0983965098857879
