eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.011663357261568271,0.0008814864278972616,0.011368274885074515,0.01199332015433656,30
10,0.0199350984456638,0.004513744123887381,0.018416053914309734,0.021659927230793925,30
20,0.03024061191827054,0.01031473226063719,0.02680755191793039,0.034033104103679414,30
30,0.04226444127658999,0.014794418734259612,0.037290658904239486,0.04786299729564532,30
40,0.05441317309935885,0.02010338979943581,0.047264724252745464,0.06164823531328386,30
50,0.06886461538573102,0.03987080108056197,0.05569848087305819,0.0837326097177962,30
60,0.07816923800855871,0.046617050566735374,0.06291756506854045,0.09523148765942699,30
70,0.094284317890803,0.05820503180993148,0.07471111639092363,0.11641365532452859,30
80,0.11674874549110728,0.062378924509734264,0.09488247953976191,0.13918401681197184,30
90,0.12077839262783524,0.06625983329076418,0.0973189889018734,0.1449270472861826,30
100,0.11924227116008597,0.07549689559442575,0.09275123539070287,0.14667813114201025,30
