eval_year,avg,min,max,n_runs
0,0.011617016080500786,0.0105869499966502,0.0140887992456555,30
10,0.015360560634040359,0.0129987159743905,0.0217068679630756,30
20,0.014814707250999504,0.0127533813938498,0.021483177319169,30
30,0.016614896777485056,0.0133201349526643,0.0275075286626815,30
40,0.019075931083144853,0.0143056381493806,0.031616311520338,30
50,0.01979548138167172,0.0146115710958838,0.0423934459686279,30
60,0.02528298579688577,0.0159711111336946,0.075689397752285,30
70,0.021081741034452352,0.0152777731418609,0.0387339182198047,30
80,0.026286979139383302,0.0171801354736089,0.0537409335374832,30
90,0.02769673841872382,0.0174590777605772,0.0598906427621841,30
100,0.031174885973866452,0.0180400013923645,0.0631302893161773,30
