eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.011663357261568271,0.0008814864278972616,0.011368274885074515,0.01199332015433656,30
10,0.015488573194791827,0.0024380097853250863,0.014691813931179496,0.016420490089803886,30
20,0.014964303653687193,0.002572681796819957,0.01411276793573047,0.015932033273857043,30
30,0.01686576642096038,0.003576473623867102,0.01566386900609355,0.01822584797395388,30
40,0.019318800481657152,0.004272576689849807,0.017858062259231967,0.02090023343296097,30
50,0.020361936992655146,0.005451302097925014,0.01862580063054333,0.022435298089403623,30
60,0.026652660841743097,0.012009288476142846,0.02287578668445344,0.03149044954838848,30
70,0.021439081337302875,0.004832753171426237,0.019824474900184783,0.023302101645773836,30
80,0.026891929221649916,0.008180383856954585,0.02410979753825809,0.02996993181295688,30
90,0.02839573373397188,0.010467328872724982,0.024935955628752664,0.03236571945250031,30
100,0.03171263172601655,0.012560305780942022,0.027337121255695766,0.03653318963401635,30
