n_runs,mean_y0,mean_y10,mean_y20,mean_y30,mean_y40,mean_y50,mean_y60,mean_y70,mean_y80,mean_y90,mean_y100
1,0.03668726608157158,0.07309139519929886,0.035157687962055206,0.01615774631500244,0.02486535906791687,0.01403680257499218,0.016522448509931564,0.013952285051345825,0.011952679604291916,0.016884934157133102,0.012694905512034893
2,0.04925776645541191,0.07816533371806145,0.036988675594329834,0.012683842796832323,0.022319046780467033,0.01617941539734602,0.01489755604416132,0.01077652140520513,0.010799060575664043,0.025938857346773148,0.02341107791289687
3,0.058510454992453255,0.07906954983870189,0.041277741392453514,0.01392294621715943,0.023190530017018318,0.015585733577609062,0.015003076133628687,0.010459298423180977,0.015769436955451965,0.02570486068725586,0.02112334066381057
4,0.058540075086057186,0.08378673158586025,0.042981913313269615,0.012521133990958333,0.019161380478180945,0.014012609608471394,0.016033268300816417,0.011367085739038885,0.014323761221021414,0.02731652557849884,0.019545613322407007
5,0.059906264394521715,0.0859643578529358,0.04148652851581573,0.014646271429955959,0.016804765444248915,0.012670234683901072,0.015720597468316555,0.0123033101670444,0.015858304128050803,0.026437008753418922,0.021807436645030976
6,0.05861592603226503,0.0844681238134702,0.043667576586206756,0.015288000460714102,0.01678203100649019,0.011753468308597803,0.01438953618829449,0.011652438047652444,0.015109310702731213,0.0264341381068031,0.01965962164103985
7,0.06202906210507665,0.08593113720417023,0.043386133653776984,0.014264781028032303,0.016070598802928413,0.012417357015822614,0.013438060946230377,0.011364610400050879,0.017544735356100967,0.025098928649510657,0.01979471556842327
8,0.06085325079038739,0.087460164912045,0.04413798497989774,0.015591789036989212,0.01601152593502775,0.013028648099862039,0.01269302680157125,0.011077774863224477,0.01911143760662526,0.022972477483563125,0.019166560960002244
9,0.06257923319935799,0.08590421908431584,0.044101986206240125,0.014799466874036524,0.01698972165791525,0.012425019612742795,0.014416172893510925,0.010684560208270947,0.01963101441247596,0.023415904802580673,0.018099704550372228
10,0.06214617490768433,0.08811933249235153,0.04413621313869953,0.014974067453294992,0.016517290798947214,0.011877751210704446,0.015268583223223687,0.011454254249110818,0.018576311878859997,0.025159854721277953,0.017893838696181774
11,0.06235337866978212,0.08665898510000923,0.04371722482822158,0.01470564729110761,0.016586243894628504,0.012088348369368097,0.0153533128852194,0.013933151833374392,0.018445816907015713,0.02389411721378565,0.017673084427687256
12,0.06315386667847633,0.08634215965867043,0.043393140037854515,0.014169408629337946,0.01619402082481732,0.012215357545452813,0.0146392797663187,0.014578869294685623,0.01838414076094826,0.022735555190593004,0.01753219566307962
13,0.06353117468265387,0.08642022426311786,0.04295232892036438,0.01415682784639872,0.01632344418276961,0.01258825406861993,0.01414460506146917,0.014556886019328466,0.0176331396572865,0.02180704639221613,0.017181920890624706
14,0.06431098708084651,0.0857178121805191,0.04226189026875155,0.014067991237555231,0.016127169764201556,0.012224517563091857,0.014111387377072657,0.014371891472754734,0.017284751936261143,0.022974070893334492,0.01759958466781037
15,0.0644125963250796,0.08611694723367691,0.04162653808792432,0.01448126162091891,0.015738628897815944,0.013174118660390376,0.015409744499872128,0.014453657623380422,0.017085455109675726,0.022381964946786563,0.01835271194577217
16,0.06416745018213987,0.08584102429449558,0.041019315365701914,0.014879093039780855,0.01589926375891082,0.013573372561950237,0.014998370927060023,0.014243067853385583,0.016665346978697926,0.021482859854586422,0.018110406410414726
17,0.06549726952524747,0.08673951380393084,0.0406206756391946,0.014915168887990363,0.016240382430088872,0.013213959851247422,0.014767930158140027,0.014021102749906918,0.016593755661126447,0.02113353439113673,0.017609662321560523
18,0.06674613348311847,0.08733336751659711,0.040131987176007695,0.01506995280376739,0.016362247652270727,0.013817638727939792,0.014417771379359894,0.014667467084816761,0.016311374492943287,0.020970204327669408,0.017157236114144325
19,0.06513562092655584,0.08577037053672891,0.0403140736253638,0.015316470035989033,0.015921634107239936,0.013660870296390433,0.014196892342481175,0.014281250928577623,0.01598472006030773,0.020526332927769737,0.017486260811749258
20,0.06511336155235767,0.08647857047617435,0.040649281442165376,0.015377973159775137,0.01678941792342812,0.013398658111691475,0.014091015770100057,0.014122957037761808,0.016458174353465437,0.020046640746295454,0.01823826218023896
21,0.06518992746160143,0.08646235792409807,0.040636499368009116,0.015260703373877775,0.01641860029970606,0.013090607798880055,0.013809431499491135,0.01387302963329213,0.016113946436061746,0.02086424313130833,0.01795150570216633
22,0.06509147990833629,0.08564318885857408,0.040247254920276726,0.015306266744367102,0.016059918434951793,0.013619037726047363,0.0135212966918268,0.013744406825439497,0.01649244972081347,0.022864078764211048,0.017670700961554594
23,0.06494649094731911,0.08547673601171245,0.03945885023669056,0.01632876325722622,0.01603655000824643,0.013523349943368332,0.013248625413879105,0.013480872098032547,0.016322487519811028,0.022330904217517895,0.017564175731461983
24,0.06423142335067193,0.08587988031407197,0.040108602261170745,0.01657251031914105,0.015929272340144962,0.013349504365275303,0.013322504353709519,0.013691639857521901,0.0165444992405052,0.022089600330218673,0.01799232792109251
25,0.06365804761648178,0.08574042052030563,0.0402852476388216,0.016470670774579046,0.015795157346874474,0.01361290991306305,0.01311846487224102,0.013785975892096758,0.016313302628695965,0.022355941161513328,0.017977889478206634
26,0.06364913284778595,0.08499226174675502,0.04021191016699259,0.01616206568164321,0.015463324263691902,0.013518329065006513,0.012956622952165512,0.013852679582599264,0.015969611041677687,0.021836530059002913,0.017793441334596045
27,0.06416364676422542,0.0845885561020286,0.03999628754401648,0.016269465597967308,0.016154057173817245,0.013582828765114149,0.012809810953007804,0.013680563773959875,0.01580126692230503,0.022143300001819927,0.017516062456976483
28,0.06357588579079934,0.08490535164518016,0.040037506193454774,0.015997110699702586,0.016406351567379067,0.013560339974771653,0.01268177928536066,0.014303984137118928,0.01570097977362041,0.021723879467962042,0.01789106265641749
29,0.06328630190471123,0.08512293162017033,0.0403009534267516,0.016230097008419448,0.01657418572697146,0.01337367649479159,0.012582607792112333,0.014312886520577916,0.015566809825470736,0.02129911763015492,0.017520694351144905
30,0.06367958684762319,0.0853548876941204,0.03975513248393933,0.01600419043873747,0.01688185886790355,0.014016881771385669,0.012509910358736913,0.014498600224032997,0.01539527381149431,0.020848053616161148,0.017679926784088213
