run_idx,0,10,20,30,40,50,60,70,80,90,100
0,0.0366872660815715,0.0730913951992988,0.0351576879620552,0.0161577463150024,0.0248653590679168,0.0140368025749921,0.0165224485099315,0.0139522850513458,0.0119526796042919,0.0168849341571331,0.0126949055120348
1,0.0618282668292522,0.083239272236824,0.0388196632266044,0.0092099392786622,0.0197727344930171,0.0183220282196998,0.013272663578391,0.0076007577590644,0.0096454415470361,0.0349927805364131,0.0341272503137588
2,0.0770158320665359,0.0808779820799827,0.0498558729887008,0.0164011530578136,0.0249334964901208,0.0143983699381351,0.0152141163125634,0.0098248524591326,0.0257101897150278,0.0252368673682212,0.0165478661656379
3,0.0586289353668689,0.0979382768273353,0.0480944290757179,0.008315697312355,0.0070739318616688,0.0092932377010583,0.0191238448023796,0.0140904476866126,0.0099867340177297,0.0321515202522277,0.0148124312981963
4,0.0653710216283798,0.0946748629212379,0.0355049893260002,0.0231468211859464,0.0073783053085207,0.0073007349856197,0.0144699141383171,0.0160482078790664,0.0219964757561683,0.0229189414530992,0.0308547299355268
5,0.0521642342209816,0.0769869536161422,0.0545728169381618,0.0184966456145048,0.0166683588176965,0.0071696364320814,0.0077342297881841,0.0083980774506926,0.0113643435761332,0.0264197848737239,0.0089205466210842
6,0.0825078785419464,0.0947092175483703,0.0416974760591983,0.0081254644319415,0.0118020055815577,0.0164006892591714,0.0077292094938457,0.0096376445144414,0.0321572832763195,0.0170876719057559,0.0206052791327238
7,0.0526225715875625,0.0981633588671684,0.0494009442627429,0.0248808450996875,0.015598015859723,0.017307685688138,0.0074777877889573,0.0090699261054396,0.0300783533602952,0.0080873193219304,0.014769478701055
8,0.0763870924711227,0.0734566524624824,0.0438139960169792,0.008460889570415,0.0248152874410152,0.0075959917157888,0.0282013416290283,0.0075388429686427,0.0237876288592815,0.026963323354721,0.0095648532733321
9,0.0582486502826213,0.1080553531646728,0.0444442555308342,0.0165454726666212,0.0122654130682349,0.0069523355923593,0.0229402761906385,0.0183815006166696,0.0090839890763163,0.0408554039895534,0.0160410460084676
10,0.06442541629076,0.0720555111765861,0.039527341723442,0.0120214456692337,0.0172757748514413,0.0141943199560046,0.0162006095051765,0.0387221276760101,0.0171408671885728,0.0112367421388626,0.015465541742742
11,0.0719592347741127,0.0828570798039436,0.0398282073438167,0.0082707833498716,0.0118795670568943,0.0136124584823846,0.0067849154584109,0.0216817613691091,0.0177057031542062,0.0099913729354739,0.0159824192523956
12,0.0680588707327842,0.0873569995164871,0.0376625955104827,0.014005858451128,0.017876524478197,0.0170630123466253,0.0082085086032748,0.0142930867150425,0.0086211264133453,0.0106649408116936,0.0129786236211657
13,0.0744485482573509,0.0765864551067352,0.0332861877977848,0.0129131153225898,0.0135756023228168,0.0074959429912269,0.013679557479918,0.0119669623672962,0.0127557115629315,0.0381453894078731,0.023029213771224
14,0.0658351257443428,0.0917048379778862,0.032731607556343,0.0202670469880104,0.0102990567684173,0.0264685340225696,0.0335867442190647,0.01559838373214,0.0142952995374798,0.0140924816951155,0.0288964938372373
15,0.0604902580380439,0.0817021802067756,0.0319109745323658,0.02084656432271,0.0183087866753339,0.0195621810853481,0.0088277673348784,0.0110842213034629,0.0103637250140309,0.0079962834715843,0.014475823380053
16,0.0867743790149688,0.101115345954895,0.0342424400150775,0.0154923824593424,0.0216982811689376,0.0074633564800024,0.0110808778554201,0.0104696610942482,0.0154482945799827,0.0155443269759416,0.0095977568998932
17,0.0879768207669258,0.0974288806319236,0.0318242833018302,0.0177012793719768,0.0184339564293622,0.02408017963171,0.0084650721400976,0.025655660778284,0.0115108946338295,0.0181935932487249,0.0094659905880689
18,0.0361463949084281,0.0576364248991012,0.0435916297137737,0.0197537802159786,0.0079905902966856,0.0108390385285019,0.0102210696786642,0.0073293601162731,0.0101049402728676,0.0125366477295756,0.023408705368638
19,0.0646904334425926,0.0999343693256378,0.0470182299613952,0.0165465325117111,0.0332773104310035,0.0084166266024112,0.0120793608948588,0.0111153731122612,0.0254538059234619,0.010932489298284,0.0325262881815433
20,0.0667212456464767,0.0861381068825721,0.0403808578848838,0.0129153076559305,0.0090022478252649,0.0069296015426516,0.0081777460873126,0.0088744815438985,0.0092293880879879,0.0372162908315658,0.0122163761407136
21,0.0630240812897682,0.0684406384825706,0.0320731215178966,0.0162630975246429,0.0085275992751121,0.0247160661965608,0.0074704657308757,0.0110433278605341,0.0244410187005996,0.0648606270551681,0.011773801408708
22,0.0617567338049411,0.0818147733807563,0.0221139471977949,0.0388236865401268,0.0155224446207284,0.0114182187244296,0.0072498572990298,0.0076831080950796,0.0125833190977573,0.0106010641902685,0.0152206206694245
