eval_year,avg,min,max,n_runs
0,0.01184932967381813,0.0109559223055839,0.0131467040628194,30
10,0.01729586494288269,0.0142607763409614,0.0233194753527641,30
20,0.01681039781708797,0.0142749967053532,0.0257141273468732,30
30,0.017036510664703537,0.0145576009526848,0.0348834358155727,30
40,0.017750317663220376,0.0145493792369961,0.0250555016100406,30
50,0.016387926680701072,0.0147176645696163,0.0222773198038339,30
60,0.017028397647663906,0.0142497457563877,0.0261713862419128,30
70,0.017597733763977837,0.0147521570324897,0.0275477822870016,30
80,0.01735051734639061,0.0143469041213393,0.0237887743860483,30
90,0.01785188800256163,0.0150657091289758,0.0358106717467308,30
100,0.017573135439306446,0.0148900309577584,0.0235666800290346,30
