run_idx,0,10,20,30,40,50,60,70,80,90,100
0,0.0117193898186087,0.021759383380413,0.0187586769461631,0.0146805439144372,0.0157887730747461,0.0174826998263597,0.0150306299328804,0.0154348099604249,0.0209064483642578,0.0152255548164248,0.0211387611925601
1,0.0126294121146202,0.0140300244092941,0.0145208137109875,0.0181399881839752,0.0187228117138147,0.0158001743257045,0.0149125885218381,0.0147521570324897,0.0171844866126775,0.0178088601678609,0.0151035133749246
2,0.0120262466371059,0.0142607763409614,0.0150728188455104,0.0151293687522411,0.020979881286621,0.017006903886795,0.015982374548912,0.0171434376388788,0.0143469041213393,0.0186800695955753,0.0165546350181102
3,0.0118029993027448,0.018405107781291,0.0206827018409967,0.0170615799725055,0.0175816491246223,0.0144656589254736,0.0151313496753573,0.0230848342180252,0.0172459930181503,0.0183692779392004,0.0229436252266168
4,0.0113149723038077,0.0218389686197042,0.0174333062022924,0.0191051233559846,0.0210315622389316,0.0156306289136409,0.0159456599503755,0.0165409184992313,0.0151110654696822,0.015747545287013,0.0149055793881416
5,0.0107350246980786,0.0180963091552257,0.0173078291118145,0.0145651875063776,0.0184015464037656,0.0147252865135669,0.0177515987306833,0.0150697315111756,0.0170314069837331,0.0161127857863903,0.0188021454960107
6,0.0123488875105977,0.016637185588479,0.0178793780505657,0.016014028340578,0.01785808801651,0.0163411553949117,0.0261713862419128,0.0188538935035467,0.0162484999746084,0.0213422980159521,0.0150190163403749
7,0.0116949202492833,0.0181420519948005,0.0161586571484804,0.0165479090064764,0.0145493792369961,0.0152026135474443,0.0184627585113048,0.0152717418968677,0.0162421893328428,0.0166943501681089,0.0198752488940954
8,0.0130327977240085,0.0174384098500013,0.0160525105893611,0.014779363758862,0.0163358300924301,0.0154971871525049,0.0150543004274368,0.0158360507339239,0.0148688098415732,0.0150657091289758,0.019857807084918
9,0.0116348704323172,0.0196097642183303,0.0142529336735606,0.0214984659105539,0.0185647476464509,0.0197758562862873,0.0185768734663724,0.0275477822870016,0.0187435280531644,0.0142607418820261,0.0235666800290346
10,0.0123698962852358,0.0159071646630764,0.0184900425374507,0.0348834358155727,0.0250555016100406,0.0149864703416824,0.0153804291039705,0.0213697161525487,0.0202971529215574,0.0178467743098735,0.0159328375011682
11,0.0114408750087022,0.0170538686215877,0.0173818133771419,0.0145396273583173,0.0147466221824288,0.0155832860618829,0.0161031074821949,0.0200160555541515,0.019997714087367,0.0176987461745739,0.0161267910152673
12,0.0113568324595689,0.016046367585659,0.0156148998066782,0.0159480534493923,0.0220693796873092,0.0180807821452617,0.0150453578680753,0.0168439801782369,0.017058178782463,0.0155445551499724,0.0201050359755754
13,0.0116141736507415,0.0142671698704361,0.0150723392143845,0.0151064880192279,0.0159245617687702,0.0150381680577993,0.0172225032001733,0.0153513550758361,0.0186616349965333,0.0239808335900306,0.0207405090332031
14,0.0114447865635156,0.0193244740366935,0.0179607458412647,0.0200828798115253,0.0162705164402723,0.0168199017643928,0.0188299696892499,0.017891526222229,0.0174164362251758,0.0174824073910713,0.0153112700209021
15,0.0113920653238892,0.0150444190949201,0.016295313835144,0.0190371721982955,0.0152209363877773,0.0147277656942605,0.0160323847085237,0.0146135436370968,0.0182045064866542,0.0167229082435369,0.0198292601853609
16,0.0119669716805219,0.0225168950855731,0.0142749967053532,0.0167157817631959,0.0151006132364273,0.0222773198038339,0.0260407719761133,0.0190520752221345,0.0142849599942564,0.0207354724407196,0.0177480075508356
17,0.0131467040628194,0.0152563536539673,0.0160395838320255,0.0163773335516452,0.0147702461108565,0.016469657421112,0.0142497457563877,0.0153624853119254,0.0178034603595733,0.0221853014081716,0.0148900309577584
18,0.01148281712085,0.014816983602941,0.0166666414588689,0.0173231344670057,0.0187291856855154,0.0151146166026592,0.0151329636573791,0.0177740175276994,0.0167740266770124,0.0199750009924173,0.0177601240575313
19,0.0115588707849383,0.0233194753527641,0.0161766726523637,0.0163348950445652,0.0161780174821615,0.0150385340675711,0.0215884372591972,0.0185163710266351,0.0150969140231609,0.0151763809844851,0.017462845891714
20,0.0110718142241239,0.0163313541561365,0.0172477196902036,0.0158798657357692,0.0150267761200666,0.0147176645696163,0.0156886968761682,0.0181471668183803,0.0194506179541349,0.0200347658246755,0.0150001719594001
21,0.0118216639384627,0.0160933230072259,0.0214155595749616,0.0198476798832416,0.0218095909804105,0.0184172298759222,0.0181071199476718,0.0259877983480691,0.0176393259316682,0.0358106717467308,0.0175124704837799
22,0.0109559223055839,0.0157259609550237,0.0147887077182531,0.0152545440942049,0.0146939698606729,0.0149378022179007,0.0162398125976324,0.018175896257162,0.0146330753341317,0.0159465465694665,0.0149645954370498
23,0.0116211390122771,0.0161724798381328,0.0153528423979878,0.0146031398326158,0.017659293487668,0.0182403046637773,0.0171024315059185,0.0174009148031473,0.0216404069215059,0.0184664297848939,0.0172204785048961
24,0.0122863017022609,0.0192715302109718,0.0168940145522356,0.0157439075410366,0.0207945052534341,0.0164526775479316,0.0161135494709014,0.0176676958799362,0.0169647783041,0.0168339870870113,0.0180897489190101
25,0.0125863943248987,0.0182994864881038,0.0144300768151879,0.0151645634323358,0.0160971898585557,0.0177598837763071,0.0171359349042177,0.0169096589088439,0.0150102814659476,0.01617500372231,0.0146520845592021
26,0.0116436323150992,0.019630191847682,0.0257141273468732,0.0273094549775123,0.019496627151966,0.0169352032244205,0.0165654756128788,0.0161095932126045,0.0163112804293632,0.0162499044090509,0.0165447257459163
27,0.0130599364638328,0.0146821439266204,0.0174816716462373,0.0145576009526848,0.0189806297421455,0.0191408842802047,0.0206625144928693,0.0159255787730216,0.0154370227828621,0.0151747791096568,0.0165559146553277
28,0.0121449595317244,0.0152231538668274,0.0162817239761352,0.019116261973977,0.0236259642988443,0.0157385170459747,0.0141128916293382,0.0169582739472389,0.0194883402436971,0.0169564932584762,0.0196720957756042
29,0.0117576820775866,0.0164329409599304,0.018959080800414,0.0150979831814765,0.0145477401092648,0.0172000918537378,0.0167057942599058,0.0152888111770153,0.0237887743860483,0.0216201227158308,0.0163805466145277
