eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.06198020440836745,0.009240816279989073,0.05872351817165809,0.06527329325986402,30
10,0.08967404824992017,0.018085176325075104,0.08320880802969136,0.09612828983925278,30
20,0.05482471262415247,0.011875618368950631,0.05060878149233754,0.059059733996788634,30
30,0.01644744680573537,0.006802758577628452,0.01424654514839246,0.019071150436842127,30
40,0.01508944368300334,0.0067762052554201195,0.01285806599344743,0.017613342062104458,30
50,0.015233869369452145,0.008456437960924048,0.012386215844890055,0.018439183180841243,30
60,0.013865875375146603,0.006350661912901375,0.011707020932420403,0.016188098731605892,30
70,0.01647514056724801,0.007341259572288052,0.013943146064023748,0.01918028155380544,30
80,0.014887801324948612,0.006659379393972359,0.012610889951465606,0.01733316844950114,30
90,0.01754714964578544,0.008640658073441705,0.014748890191161336,0.020775139126150498,30
100,0.01725867244725422,0.008756298963669277,0.014454635377041959,0.02049099145069093,30
