comparison,n_pairs,win_rate,mean_normalized_mse_reduction,median_normalized_mse_reduction,q05_reduction,q95_reduction
stylized_only_minus_drift_penalized,1000,0.608,0.03654212035576085,0.013069542366308418,0.0,0.1399586285680476
stylized_only_minus_oracle_test_mse,1000,0.976,0.04729313123598345,0.026692523471699925,0.0016567475769321772,0.15209610579038188
stylized_only_minus_random,1000,0.384,-0.012657049864540844,-0.009254469966209766,-0.12562992552705954,0.10823621814680476
