seed,selector,real_null_q95,real_only_normalized_mse,excess_normalized_mse_vs_real_only,candidate_idx,sample_id,family,persistence,stylized_score,delta,delta_over_q95,violates_real_null,normalized_mse,coef_norm,mean_abs_prediction,selection_score
0,stylized_only,0.06911211714874732,1.0429486476006953,-0.03656907247764862,45,p0.55,markov,0.55,0.048761102874508404,0.0491083745596727,0.7105609925677527,False,1.0063795751230467,0.06462700753269716,0.022660721514350536,
0,drift_penalized,0.06911211714874732,1.0429486476006953,-0.03656907247764862,45,p0.55,markov,0.55,0.048761102874508404,0.0491083745596727,0.7105609925677527,False,1.0063795751230467,0.06462700753269716,0.022660721514350536,0.048761102874508404
0,oracle_test_mse,0.06911211714874732,1.0429486476006953,-0.0404604158868167,15,p0.55,markov,0.55,0.1560396496192829,0.07460526168061217,1.0794816416930502,True,1.0024882317138786,0.06600333006826574,0.052887805659150466,
0,random,0.06911211714874732,1.0429486476006953,-0.028367697605405473,1,p0.55,markov,0.55,0.32434582671448947,0.09970758105374498,1.442693194293965,True,1.0145809499952898,0.12614255723373696,0.047137952913311125,
1,stylized_only,0.4257608849767138,1.0794238718591704,0.15156659567794328,8,p0.90,markov,0.9,0.03139055496883767,1.7311808923026601,4.0660872179400505,True,1.2309904675371137,0.41015011692408115,0.28161277054077943,
1,drift_penalized,0.4257608849767138,1.0794238718591704,-0.05819142276868727,27,iid,iid,,0.03194550546791822,0.3084347752438899,0.7244319197165309,False,1.0212324490904832,0.10139794719766594,0.06682545326041421,0.03194550546791822
1,oracle_test_mse,0.4257608849767138,1.0794238718591704,-0.08519969742933187,10,iid,iid,,0.08928193550522696,0.29947684104020406,0.7033920954401045,False,0.9942241744298386,0.12964169585439808,0.07330950260878032,
1,random,0.4257608849767138,1.0794238718591704,0.052758056917762364,17,p0.75,markov,0.75,0.2898674985721643,0.8854884103766946,2.079778677708086,True,1.1321819287769328,0.33439837813187057,0.21022841596436256,
2,stylized_only,0.05233673776339877,1.0093890521366438,0.08247055808134585,33,p0.75,markov,0.75,0.025035591774092866,0.30124909533122013,5.755977697599181,True,1.0918596102179896,0.27521619305857825,0.1731921997212714,
2,drift_penalized,0.05233673776339877,1.0093890521366438,-0.009039481312499431,15,iid,iid,,0.04993026566588024,0.06058567965889223,1.1576128403872792,True,1.0003495708241443,0.06588793450729404,0.05008410450771693,0.056140717529616725
2,oracle_test_mse,0.05233673776339877,1.0093890521366438,-0.010028104020974093,47,iid,iid,,0.28786079530445974,0.0676721691647027,1.293014659618862,True,0.9993609481156697,0.12665359241820642,0.06574725320298,
2,random,0.05233673776339877,1.0093890521366438,0.14271294885800234,38,p0.90,markov,0.9,0.6887164895397196,0.5316392932271616,10.158051799685513,True,1.152102000994646,0.35931424999033695,0.22435693557729836,
3,stylized_only,0.11864772978426252,1.0153701330272145,-0.01042838542822877,5,p0.55,markov,0.55,0.04306329489105852,0.07956320565469223,0.6705834641704668,False,1.0049417475989857,0.10016627625105681,0.061163623239866835,
3,drift_penalized,0.11864772978426252,1.0153701330272145,-0.01042838542822877,5,p0.55,markov,0.55,0.04306329489105852,0.07956320565469223,0.6705834641704668,False,1.0049417475989857,0.10016627625105681,0.061163623239866835,0.04306329489105852
3,oracle_test_mse,0.11864772978426252,1.0153701330272145,-0.01551735001549781,10,iid,iid,,0.07176004618822053,0.04712821330022046,0.3972112520476693,False,0.9998527830117167,0.054228811788878555,0.02406040384507301,
3,random,0.11864772978426252,1.0153701330272145,0.000977599966065501,16,p0.65,markov,0.65,0.3492619054264403,0.2322123575234249,1.957158033665349,True,1.01634773299328,0.16584087350299911,0.11933540013450337,
4,stylized_only,0.09801061100707503,1.0336137388733264,0.08699184967452545,17,p0.90,markov,0.9,0.04411737238909475,0.4796917412879828,4.894283755188054,True,1.1206055885478519,0.3463119801401748,0.21002816174633485,
4,drift_penalized,0.09801061100707503,1.0336137388733264,-0.04198012723481115,37,iid,iid,,0.08032106147929804,0.07385056494022633,0.7534956080918149,False,0.9916336116385153,0.10245709241754268,0.04968153800870593,0.08032106147929804
4,oracle_test_mse,0.09801061100707503,1.0336137388733264,-0.04221663438453471,43,iid,iid,,0.09188288624313007,0.11685237834794542,1.1922421169225266,True,0.9913971044887917,0.162531433413419,0.08856756491913739,
4,random,0.09801061100707503,1.0336137388733264,0.0795949726332481,4,p0.90,markov,0.9,0.160381029534874,0.4977337040181627,5.078365484143682,True,1.1132087115065745,0.3484213658087443,0.2108913336184072,
5,stylized_only,0.04406566339676038,1.041394675178517,0.007151995213195095,19,p0.75,markov,0.75,0.04909745167879232,0.30612164891530474,6.946942932846217,True,1.0485466703917121,0.21199895575360472,0.15005082650502813,
5,drift_penalized,0.04406566339676038,1.041394675178517,-0.04061825739986191,29,p0.55,markov,0.55,0.07136550348929491,0.04014263372361462,0.9109730939978501,False,1.0007764177786551,0.058917080591615,0.03156912014244958,0.07136550348929491
5,oracle_test_mse,0.04406566339676038,1.041394675178517,-0.04256088395748314,44,iid,iid,,0.2099992307661072,0.041408353232550515,0.9396965809799831,False,0.9988337912210339,0.04643859973059343,0.031209596219564303,
5,random,0.04406566339676038,1.041394675178517,0.029233135940904154,40,p0.85,markov,0.85,0.486160639624385,0.4205394878742895,9.543473431633545,True,1.0706278111194212,0.2509490399182002,0.18980658240167173,
6,stylized_only,0.011882033786213027,1.1463895750482205,-0.10458540554068896,30,iid,iid,,0.025132551398367536,0.01178290484167936,0.9916572409810273,False,1.0418041695075315,0.19944354626316887,0.052120264391186874,
6,drift_penalized,0.011882033786213027,1.1463895750482205,-0.10458540554068896,30,iid,iid,,0.025132551398367536,0.01178290484167936,0.9916572409810273,False,1.0418041695075315,0.19944354626316887,0.052120264391186874,0.025132551398367536
6,oracle_test_mse,0.011882033786213027,1.1463895750482205,-0.10769905716926975,28,p0.90,markov,0.9,0.31336374742466494,0.09887887119795154,8.32171267789886,True,1.0386905178789507,0.16997025640066138,0.04634270322525449,
6,random,0.011882033786213027,1.1463895750482205,-0.10288919814852604,15,p0.55,markov,0.55,0.05385834642902809,0.020765729632046828,1.7476578509768033,True,1.0435003768996944,0.19429114610545375,0.05162338267963658,
7,stylized_only,0.06778955489792401,1.0888264683862319,0.052641367944612494,17,p0.90,markov,0.9,0.023230961797894727,0.7907479654965028,11.664746385887815,True,1.1414678363308444,0.4020123968267331,0.20794032625813277,
7,drift_penalized,0.06778955489792401,1.0888264683862319,-0.07671438982995071,46,iid,iid,,0.08607315585207523,0.08417377007229956,1.241692325595684,True,1.0121120785562812,0.13578932532580915,0.053664084690130204,0.10067695091503776
7,oracle_test_mse,0.06778955489792401,1.0888264683862319,-0.09035311595880902,23,iid,iid,,0.25379996293574136,0.14760211320055475,2.1773577569997427,True,0.9984733524274229,0.08458918333995341,0.03161418843437277,
7,random,0.06778955489792401,1.0888264683862319,0.05536254702055321,40,p0.90,markov,0.9,0.18363316102778782,0.8364852441991191,12.339441459066661,True,1.144189015406785,0.40233070297160173,0.2067115008222533,
8,stylized_only,0.10633477584154119,1.089745131988893,-0.03872703146163792,47,p0.65,markov,0.65,0.03642940907685359,0.3039718122653207,2.858630300949671,True,1.051018100527255,0.18871126581807968,0.12711775641624828,
8,drift_penalized,0.10633477584154119,1.089745131988893,-0.05590253426171876,44,p0.55,markov,0.55,0.03732318301918634,0.12469745579195857,1.1726874374360954,True,1.0338425977271741,0.1493466344303722,0.08042443986170951,0.044778420781247684
8,oracle_test_mse,0.10633477584154119,1.089745131988893,-0.08270792412577332,13,iid,iid,,0.11498204659468854,0.10852111240188328,1.0205608799476866,True,1.0070372078631196,0.07007840375652959,0.0344617674468043,
8,random,0.10633477584154119,1.089745131988893,-0.05590253426171876,44,p0.55,markov,0.55,0.03732318301918634,0.12469745579195857,1.1726874374360954,True,1.0338425977271741,0.1493466344303722,0.08042443986170951,
9,stylized_only,0.016073728953704753,1.0067884283973878,-0.007074260855764902,31,iid,iid,,0.025804946739397552,0.03806584579629956,2.3682025437865777,True,0.9997141675416229,0.10097014013429326,0.03751213670031463,
9,drift_penalized,0.016073728953704753,1.0067884283973878,-0.010023376649713533,10,iid,iid,,0.227634047419874,0.018233737149675612,1.1343812753214935,True,0.9967650517476743,0.03352674226951555,0.01682743537008312,0.23214862920913176
9,oracle_test_mse,0.016073728953704753,1.0067884283973878,-0.011547871998362935,4,p0.55,markov,0.55,0.20103957510466994,0.06408901246439853,3.987190069521919,True,0.9952405563990249,0.09779231384643688,0.05008361116625045,
9,random,0.016073728953704753,1.0067884283973878,0.1335682593994325,35,p0.85,markov,0.85,0.38079774343879924,0.2970357027813657,18.479576434123175,True,1.1403566877968203,0.36089062568219477,0.20398729138311358,
10,stylized_only,0.1490147151467846,1.0016060816728212,0.05613011692030123,17,p0.65,markov,0.65,0.04601977752238901,0.19370242657275621,1.299887909606462,True,1.0577361985931224,0.1882998694101512,0.1652802441707196,
10,drift_penalized,0.1490147151467846,1.0016060816728212,0.02433430901134126,20,p0.55,markov,0.55,0.04611045551945321,0.15447278032139483,1.0366276925687095,True,1.0259403906841624,0.17333424590653632,0.0946145196788234,0.046445852485180183
10,oracle_test_mse,0.1490147151467846,1.0016060816728212,-0.0036496230349181147,31,iid,iid,,0.06477617439839331,0.07278571625759332,0.48844650131295353,False,0.997956458637903,0.07817442866460363,0.06721500132465356,
10,random,0.1490147151467846,1.0016060816728212,0.06627765827802601,5,p0.75,markov,0.75,0.13166442100792217,0.28281774714253205,1.8979182483014974,True,1.0678837399508472,0.2769195517298022,0.18852681874265598,
11,stylized_only,0.06752308552235524,1.0249177726381098,0.0008286661323604338,25,iid,iid,,0.03578680480407768,0.07083198042887644,1.0490039055668703,True,1.0257464387704702,0.12559238422224125,0.04546505084532285,
11,drift_penalized,0.06752308552235524,1.0249177726381098,0.0008286661323604338,25,iid,iid,,0.03578680480407768,0.07083198042887644,1.0490039055668703,True,1.0257464387704702,0.12559238422224125,0.04546505084532285,0.03638715049427936
11,oracle_test_mse,0.06752308552235524,1.0249177726381098,-0.02205560804321638,44,p0.65,markov,0.65,0.15756193733106452,0.11959567992854703,1.771182092811085,True,1.0028621645948934,0.1019338750192646,0.04800976335792586,
11,random,0.06752308552235524,1.0249177726381098,0.005017964718932788,33,p0.65,markov,0.65,0.15794472991813155,0.21545836501810928,3.1908844708640616,True,1.0299357373570426,0.19283051150098116,0.10081784726228418,
12,stylized_only,0.17023484514216689,1.0220640454386303,0.0068881458803762285,33,p0.75,markov,0.75,0.05728108111418854,0.34970653307670085,2.054259413133975,True,1.0289521913190065,0.2063824594473858,0.13741359140434395,
12,drift_penalized,0.17023484514216689,1.0220640454386303,-0.016067854237020063,39,p0.65,markov,0.65,0.06464821731113816,0.17276030751590915,1.0148351670989169,True,1.0059961912016102,0.11376454511901427,0.07321202025258161,0.06470323785685136
12,oracle_test_mse,0.17023484514216689,1.0220640454386303,-0.022710609252267422,3,p0.55,markov,0.55,0.13343489813023848,0.0824709775340915,0.4844541519406215,False,0.9993534361863629,0.10644937058487856,0.05987018252304651,
12,random,0.17023484514216689,1.0220640454386303,-0.015462019813782701,46,iid,iid,,0.32661767994903446,0.10149905211973949,0.596229591156707,False,1.0066020256248476,0.12539981239313883,0.057084774442275915,
13,stylized_only,0.11580044627081415,1.014830286025532,0.008400324215110944,6,p0.65,markov,0.65,0.04877472141157685,0.18839695429953038,1.6269104339972924,True,1.023230610240643,0.164021378805596,0.11215660501174719,
13,drift_penalized,0.11580044627081415,1.014830286025532,0.0022561347416407695,15,p0.55,markov,0.55,0.07433386523825022,0.16064541269330468,1.3872607391996992,True,1.0170864207671728,0.14595003310716684,0.09653825073055229,0.11182658526962458
13,oracle_test_mse,0.11580044627081415,1.014830286025532,-0.014764672125672451,16,iid,iid,,0.1416227362982565,0.05011930447303463,0.43280752438400993,False,1.0000656138998596,0.05642040640360596,0.02317541483052572,
13,random,0.11580044627081415,1.014830286025532,0.01043668006609666,17,p0.65,markov,0.65,0.4851779140524697,0.24121349619389448,2.0830100743289526,True,1.0252669660916287,0.16558753887532499,0.11371864112718158,
14,stylized_only,0.3143331341706054,1.0235287951300684,0.01840262432698503,34,iid,iid,,0.021944686509323384,0.33857120659155915,1.0771095051271256,True,1.0419314194570535,0.1837701890104672,0.12244128689937389,
14,drift_penalized,0.3143331341706054,1.0235287951300684,0.01840262432698503,34,iid,iid,,0.021944686509323384,0.33857120659155915,1.0771095051271256,True,1.0419314194570535,0.1837701890104672,0.12244128689937389,0.023431155454560933
14,oracle_test_mse,0.3143331341706054,1.0235287951300684,-0.04618204355566846,8,p0.65,markov,0.65,0.051000279498748226,0.36556772460571557,1.1629945585287946,True,0.9773467515744,0.2838325250918699,0.13990723900037652,
14,random,0.3143331341706054,1.0235287951300684,0.0013991031132452036,33,iid,iid,,0.12310867800148756,0.2411070844987305,0.767043172635656,False,1.0249278982433137,0.2094942707833187,0.1118413964334277,
15,stylized_only,0.05672120011524186,1.0736755943704261,-0.058858329669081666,36,iid,iid,,0.01953162330350943,0.03385886482368384,0.5969349159554443,False,1.0148172647013445,0.05965363357667593,0.025892700418255244,
15,drift_penalized,0.05672120011524186,1.0736755943704261,-0.058858329669081666,36,iid,iid,,0.01953162330350943,0.03385886482368384,0.5969349159554443,False,1.0148172647013445,0.05965363357667593,0.025892700418255244,0.01953162330350943
15,oracle_test_mse,0.05672120011524186,1.0736755943704261,-0.0668587862892207,21,iid,iid,,0.03630964619230054,0.056521739207526456,0.9964834857635214,False,1.0068168080812054,0.02994008559076749,0.017914852235375107,
15,random,0.05672120011524186,1.0736755943704261,-0.05839166624255876,40,p0.65,markov,0.65,0.21850857376691285,0.14405085828842834,2.5396299442846177,True,1.0152839281278674,0.14258769003057836,0.07122535849001649,
16,stylized_only,0.17522415029163932,1.0143255011827694,-0.013263318167120897,21,iid,iid,,0.06304173925814939,0.08955099559957748,0.5110653722704931,False,1.0010621830156485,0.15336794906375623,0.07820460935861828,
16,drift_penalized,0.17522415029163932,1.0143255011827694,-0.013263318167120897,21,iid,iid,,0.06304173925814939,0.08955099559957748,0.5110653722704931,False,1.0010621830156485,0.15336794906375623,0.07820460935861828,0.06304173925814939
16,oracle_test_mse,0.17522415029163932,1.0143255011827694,-0.014220163142328213,41,p0.55,markov,0.55,0.2877564719777453,0.06978228190530654,0.3982457999605785,False,1.0001053380404412,0.08333301152730488,0.0464336145471789,
16,random,0.17522415029163932,1.0143255011827694,0.1599443846075761,43,p0.90,markov,0.9,0.2137582198947319,0.9342624514342365,5.331813279615111,True,1.1742698857903455,0.38821171461110804,0.28641128026935386,
17,stylized_only,0.07295331471430053,1.0410753825671124,-0.04014111830434075,30,iid,iid,,0.10826251288152232,0.03475162353222799,0.47635427764073723,False,1.0009342642627717,0.038575046633393985,0.027388816674904202,
17,drift_penalized,0.07295331471430053,1.0410753825671124,-0.04014111830434075,30,iid,iid,,0.10826251288152232,0.03475162353222799,0.47635427764073723,False,1.0009342642627717,0.038575046633393985,0.027388816674904202,0.10826251288152232
17,oracle_test_mse,0.07295331471430053,1.0410753825671124,-0.044716569746077184,21,iid,iid,,0.2490228979577397,0.039874480442717505,0.5465753077687255,False,0.9963588128210352,0.07095202534573414,0.0359026858246776,
17,random,0.07295331471430053,1.0410753825671124,-0.030517188993681943,15,p0.55,markov,0.55,0.21215853419506975,0.09662830737753021,1.3245225080717113,True,1.0105581935734305,0.11697407749236928,0.08602011273333163,
18,stylized_only,0.046174616534325114,1.0249541377993554,0.08418246886430025,28,p0.85,markov,0.85,0.017899414103645164,0.4404606991689155,9.539022350981247,True,1.1091366066636557,0.3141584454567706,0.21996581047413138,
18,drift_penalized,0.046174616534325114,1.0249541377993554,-0.025186748426181516,43,iid,iid,,0.06930816193507428,0.047001817094852294,1.0179146167876079,True,0.9997673893731739,0.10324784710735595,0.04502478331781222,0.06938839530873599
18,oracle_test_mse,0.046174616534325114,1.0249541377993554,-0.0305744855159783,32,iid,iid,,0.1065949430486393,0.09750148430962671,2.111581895588595,True,0.9943796522833771,0.10481734891460538,0.060742672285918405,
18,random,0.046174616534325114,1.0249541377993554,0.010375088070140315,34,p0.65,markov,0.65,0.18809810457731652,0.19021439525371128,4.1194580384291966,True,1.0353292258694957,0.14263925169707484,0.1082018127480009,
19,stylized_only,0.09598953578079375,1.001662293603028,0.0006369984950544971,2,p0.55,markov,0.55,0.02401048510275706,0.10787827562433806,1.1238545404646398,True,1.0022992920980824,0.14635232571467813,0.0795014774271079,
19,drift_penalized,0.09598953578079375,1.001662293603028,0.0006369984950544971,2,p0.55,markov,0.55,0.02401048510275706,0.10787827562433806,1.1238545404646398,True,1.0022992920980824,0.14635232571467813,0.0795014774271079,0.02784547190118384
19,oracle_test_mse,0.09598953578079375,1.001662293603028,-0.005357394279911221,5,p0.55,markov,0.55,0.0323420198869912,0.09795567612232729,1.0204828612362864,True,0.9963048993231167,0.1039752170940636,0.06671690232813472,
19,random,0.09598953578079375,1.001662293603028,0.11681383330659689,32,p0.85,markov,0.85,0.31038462206343564,0.5617412151648585,5.85210888453172,True,1.1184761269096248,0.35728780774724966,0.26141600000647236,
20,stylized_only,0.2115751997945268,1.0111170345608902,0.06785338598045398,3,p0.75,markov,0.75,0.019990638923492336,0.5895216846027573,2.7863458721781984,True,1.0789704205413442,0.25708724705943886,0.16750262643744757,
20,drift_penalized,0.2115751997945268,1.0111170345608902,0.0002828008772990387,1,iid,iid,,0.024950090591812298,0.13430227076256784,0.6347732196070084,False,1.0113998354381892,0.13046744077501543,0.07840626270449844,0.024950090591812298
20,oracle_test_mse,0.2115751997945268,1.0111170345608902,-0.006162271816257281,39,p0.55,markov,0.55,0.12437790348177304,0.1075880475517652,0.5085097291943967,False,1.004954762744633,0.07621301749402068,0.033867818304026485,
20,random,0.2115751997945268,1.0111170345608902,0.02805293743499271,24,p0.65,markov,0.65,0.2289157241478463,0.29561899766623034,1.397228966123267,True,1.039169971995883,0.168775716148325,0.09236720643549214,
21,stylized_only,0.05978792608424952,1.0178566289982238,-0.012844444133346178,10,p0.55,markov,0.55,0.02766389805734693,0.047171083171970496,0.7889733974966763,False,1.0050121848648776,0.09465332989009774,0.03920232820944908,
21,drift_penalized,0.05978792608424952,1.0178566289982238,-0.012844444133346178,10,p0.55,markov,0.55,0.02766389805734693,0.047171083171970496,0.7889733974966763,False,1.0050121848648776,0.09465332989009774,0.03920232820944908,0.02766389805734693
21,oracle_test_mse,0.05978792608424952,1.0178566289982238,-0.01985262665958909,22,iid,iid,,0.1214014192499835,0.04104590662727387,0.6865250112444855,False,0.9980040023386347,0.05484446547647885,0.03234391992041536,
21,random,0.05978792608424952,1.0178566289982238,0.13631867572494172,19,p0.90,markov,0.9,0.5739009607077402,0.3493381641226407,5.842955041296708,True,1.1541753047231655,0.36645610622076885,0.23197338838759374,
22,stylized_only,0.10205955251585352,1.0633125662016476,-0.04084905363233493,44,p0.55,markov,0.55,0.011998180570251545,0.0567378394128228,0.5559287495799021,False,1.0224635125693127,0.10183422608791633,0.04638335107879504,
22,drift_penalized,0.10205955251585352,1.0633125662016476,-0.04084905363233493,44,p0.55,markov,0.55,0.011998180570251545,0.0567378394128228,0.5559287495799021,False,1.0224635125693127,0.10183422608791633,0.04638335107879504,0.011998180570251545
22,oracle_test_mse,0.10205955251585352,1.0633125662016476,-0.05933203265589171,9,iid,iid,,0.27785239250479804,0.10312384415570132,1.0104281433105684,True,1.003980533545756,0.030918729276608797,0.024528421690378815,
22,random,0.10205955251585352,1.0633125662016476,-0.04084905363233493,44,p0.55,markov,0.55,0.011998180570251545,0.0567378394128228,0.5559287495799021,False,1.0224635125693127,0.10183422608791633,0.04638335107879504,
23,stylized_only,0.045042283978609,1.0016970604167996,0.018844788190981232,34,p0.55,markov,0.55,0.015988463782210256,0.07077588667803761,1.5713209994335486,True,1.0205418486077809,0.11515856554778879,0.06765671735185744,
23,drift_penalized,0.045042283978609,1.0016970604167996,0.02115399987229205,22,iid,iid,,0.07854144041621428,0.051633216724400355,1.146327676210235,True,1.0228510602890917,0.1268290424761346,0.054943653711861225,0.08389438762248612
