augmentation_idx,avg,min,max
0,0.06430057156831026,0.05456536263227463,0.08148960769176483
1,0.07084444118663669,0.05543913319706917,0.09069283306598663
2,0.060811588540673256,0.04275797680020332,0.07494047284126282
3,0.06830038363114,0.05636081099510193,0.09214145690202713
4,0.0760026266798377,0.06683111190795898,0.08398904651403427
5,0.08442976418882608,0.06843041628599167,0.10365159809589386
6,0.07792765973135829,0.05535050854086876,0.09666533023118973
7,0.08378882333636284,0.06479331105947495,0.11320503801107407
8,0.08509464049711823,0.05960524454712868,0.11045603454113007
9,0.0964939696714282,0.07599738985300064,0.17059014737606049
10,0.09290552791208029,0.06662111729383469,0.14249959588050842
