eval_year,avg,min,max,n_runs
0,0.06129481563610687,0.0470167994499206,0.0809758752584457,30
10,0.09410901048353737,0.0651830062270164,0.125588834285736,30
20,0.06275063979306388,0.0445445999503135,0.0798141509294509,30
30,0.017837801515789918,0.009938795119524,0.0438351370394229,30
40,0.014703381607042843,0.0088876634836196,0.0289213731884956,30
50,0.01268234576231662,0.0071660866960883,0.0333803221583366,30
60,0.016996035768118235,0.0069480598904192,0.0578983500599861,30
70,0.014618734147266565,0.0075253988616168,0.0337432064116001,30
80,0.016171639452555304,0.0077670468017458,0.0339276380836963,30
90,0.014892427417050463,0.0086685745045542,0.0350994244217872,30
100,0.01688154381034625,0.007955721579492,0.0398534648120403,30
