eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.061145675430695184,0.010427900783258025,0.057347887124245336,0.06479251236965256,30
10,0.09397147409617897,0.016577072332754735,0.08790588226479784,0.09977473907793556,30
20,0.06270450912415979,0.009605683338850507,0.05925447276172535,0.06602826979632175,30
30,0.018437834177166167,0.008341327817434173,0.015704148534374875,0.02162046828462426,30
40,0.014933550559605113,0.005919123057193305,0.012934235068193268,0.01712446450721467,30
50,0.013177552881340131,0.006444655490464808,0.010991889648915525,0.015584956497962843,30
60,0.01802379800938065,0.01067576977082805,0.014528770215498853,0.02223644426247722,30
70,0.014995584310963693,0.006693218649906259,0.0127447113860398,0.017500592777505458,30
80,0.01645858908692991,0.007816863687464103,0.0137651466329892,0.019407251311931696,30
90,0.01534033489103113,0.00631465447879044,0.013191898194296845,0.017658208478242114,30
100,0.01734153296177581,0.007318286572355088,0.014865967677906105,0.02009355458741381,30
