synthetic_proportion_pct,avg,min,max
0,0.2759277820587158,0.2759277820587158,0.2936890125274658
10,0.2848803699016571,0.2848803699016571,0.29490554332733154
20,0.30061763525009155,0.30061763525009155,0.330341637134552
30,0.29884710907936096,0.29884710907936096,0.3273223042488098
40,0.4034433960914612,0.4034433960914612,0.4872004985809326
50,0.441162109375,0.441162109375,0.4538695514202118
60,0.47536131739616394,0.47536131739616394,0.5047889351844788
70,0.4569878876209259,0.4569878876209259,0.4845910668373108
80,0.47674083709716797,0.47674083709716797,0.48887330293655396
90,0.47803786396980286,0.47803786396980286,0.4859715402126312
100,0.49693506956100464,0.49693506956100464,0.5201632976531982
