augmentation_idx,avg,min,max
0,0.17455987632274628,0.17455987632274628,0.195803701877594
1,0.15541225671768188,0.15541225671768188,0.18583537638187408
2,0.18013602495193481,0.18013602495193481,0.19900421798229218
3,0.1871819794178009,0.1871819794178009,0.18753944337368011
4,0.18490074574947357,0.18490074574947357,0.20164994895458221
5,0.2086661458015442,0.2086661458015442,0.209517702460289
6,0.21897608041763306,0.21897608041763306,0.2383529543876648
7,0.20277048647403717,0.20277048647403717,0.2032158225774765
8,0.2070484310388565,0.2070484310388565,0.2631324231624603
9,0.23939953744411469,0.23939953744411469,0.2628296911716461
10,0.23852640390396118,0.23852640390396118,0.28807419538497925
