n_runs,mean_y0,mean_y10,mean_y20,mean_y30,mean_y40,mean_y50,mean_y60,mean_y70,mean_y80,mean_y90,mean_y100
1,0.011719407513737679,0.026955390349030495,0.026851369068026543,0.039619505405426025,0.050659872591495514,0.05494289845228195,0.06969864666461945,0.10147745162248611,0.14770644903182983,0.046432312577962875,0.0617835707962513
2,0.012174404691904783,0.021330222487449646,0.05463438015431166,0.04030380956828594,0.05605644918978214,0.041762515902519226,0.05063190311193466,0.0826103426516056,0.1687004193663597,0.06518707983195782,0.05466081388294697
3,0.012125030780831972,0.020680625612537067,0.04440194554626942,0.03939265509446462,0.04989402492841085,0.03595115120212237,0.10026377936204274,0.07403495783607165,0.19013078014055887,0.09770415102442105,0.052575234323740005
4,0.012044520815834403,0.02154721925035119,0.037940874230116606,0.04030745383352041,0.053778115659952164,0.04129415936768055,0.13759450241923332,0.10703214164823294,0.183846827596426,0.09023775439709425,0.051552169024944305
5,0.011898619681596756,0.021061188727617263,0.03596133403480053,0.03626970984041691,0.04983285441994667,0.05076683461666107,0.12098858058452606,0.10008678212761879,0.1685091122984886,0.08487925752997398,0.065172678232193
6,0.011704687805225452,0.020175018347799778,0.03499652290095886,0.03519749827682972,0.07788112324972947,0.0500217421601216,0.13651613891124725,0.12992600413660207,0.15099375322461128,0.08544072943429153,0.09630336860815684
7,0.011796718330255576,0.02002029094312872,0.03922952152788639,0.039432880601712635,0.07680054275052887,0.061170694551297596,0.12207686954310962,0.12458292128784317,0.13677114141838892,0.08173461471285139,0.09617867852960314
8,0.011783994152210653,0.020177586935460567,0.03887004381977022,0.03876610519364476,0.07445091614499688,0.06622603395953774,0.1185512081719935,0.1172090363688767,0.1420048726722598,0.10412581264972687,0.09220826998353004
9,0.011922748966349496,0.01995118024448554,0.03666860444678201,0.03994702340828048,0.07050027698278427,0.06494519197278553,0.11367212856809299,0.12839634426765972,0.13150151446461678,0.10043633894787894,0.09377776500251558
10,0.011893953662365675,0.019747008010745047,0.03911709599196911,0.03869303781539202,0.066874985024333,0.060694802179932596,0.10647054240107537,0.12284094132483006,0.14449478574097158,0.11610351726412774,0.11323839649558068
11,0.011937221004204317,0.020150226117535072,0.03942515531724149,0.041019325398586014,0.0672072832557288,0.06052310595458204,0.10252370075746016,0.12919732149351726,0.1362348198890686,0.12306156822226265,0.10718137567693536
12,0.011895858605081836,0.021187659508238237,0.03789170008773605,0.04036823955054084,0.0635173184176286,0.0584001699462533,0.09790938161313534,0.13687856029719114,0.1330073525508245,0.12971149695416292,0.10580548706154029
13,0.011854396344950566,0.021027719172147605,0.03711898997426033,0.039189375936985016,0.060323359014896244,0.05839952683219543,0.09365164803770873,0.14391141929305518,0.12526669897712195,0.12397916672321466,0.10382607521919104
14,0.011837243501629149,0.02085827530494758,0.03868559455232961,0.039051586229886324,0.05795513452695949,0.06876153365841933,0.09161246275263173,0.1399465040968997,0.13409346049385412,0.11850756593048573,0.11465842330030032
15,0.011811077160139878,0.020857106521725656,0.03741329809029897,0.041227364788452785,0.060933495437105495,0.06837308133641878,0.10043627346555392,0.13679016157984733,0.13303745314478874,0.12535395895441373,0.1100786621371905
16,0.011784888920374215,0.020712571102194488,0.036499372916296124,0.04745114897377789,0.05868415825534612,0.06586064724251628,0.11084998887963593,0.13155912095680833,0.12961827660910785,0.1243877683300525,0.12054941197857261
17,0.011795599287485374,0.02079507160712691,0.038428342736819214,0.04609467527445625,0.05697613505317884,0.07333576284787234,0.10846897587180138,0.12556159737355568,0.12583323151749723,0.12198793164947454,0.12513358321260004
18,0.011870660198231539,0.020610891075597867,0.03816732039882077,0.04629616439342499,0.0660161283901996,0.07446148784624206,0.10693669381241004,0.12202405763996972,0.1326515937430991,0.12005832480887572,0.12165125914745861
19,0.011850247649770034,0.020928137102409414,0.03922534518335995,0.047394610941410065,0.06561743458242793,0.07332785211895641,0.10328822484926174,0.12430219665953987,0.1278981542900989,0.11769352245487665,0.12611471704746546
20,0.011835679039359092,0.02109669353812933,0.038501436728984116,0.046027757506817576,0.06353463605046272,0.08001206237822771,0.09999751150608063,0.1274085074663162,0.13377920314669609,0.12609877828508614,0.13390019573271275
21,0.011799303947814874,0.02087302053613322,0.03813884345193704,0.04716224072589761,0.0689341929696855,0.08022499705354373,0.10308313369750977,0.12534378681864058,0.12875955401077158,0.121612738995325,0.12995304504320734
22,0.011800320692021738,0.02092252265323292,0.03808119071816856,0.04610408749431372,0.06707545412196354,0.07914336008781736,0.10165467282587831,0.12269428033720363,0.13146055244248023,0.11894799159331755,0.12821546112271873
23,0.011763607961652071,0.020843773918307346,0.03719877978057965,0.0450030911065962,0.06508916373486104,0.07771776001090588,0.10103882168946059,0.11854549116738465,0.12745150996615057,0.11693452428216519,0.12487073404633481
24,0.01175767225989451,0.020768039937441547,0.037016125939165555,0.044002665051569544,0.06921719588960211,0.07940058006594579,0.10513408451030652,0.12639472299876311,0.1235809246233354,0.12198927253484726,0.13136601044485965
25,0.011778817623853683,0.020568788796663285,0.036448243781924246,0.04713684275746346,0.06955482766032219,0.0775805027782917,0.10463308721780777,0.12472166068851948,0.12657651610672474,0.11876913666725158,0.12848961666226388
26,0.011809878087101074,0.020673522940621927,0.036315566000456996,0.04624728844142877,0.06907000679236192,0.07813319664161938,0.10194231025301494,0.1224539870969378,0.12421457104098338,0.12471659252276787,0.12574985078894174
27,0.011803722285010197,0.02049778746785941,0.036631771742745685,0.04537947537998358,0.06774869878534917,0.07773800235655573,0.09952731044204147,0.11904671326003692,0.12227732915845183,0.12859671038609963,0.126695087938397
28,0.011848587077111006,0.02060831810480782,0.03639043681323528,0.04581297568178603,0.06888493110558816,0.07629306534571308,0.09793959212090288,0.12360409254740391,0.11977302968235952,0.1264636024300541,0.13116799215120928
29,0.011858807330758407,0.020749386785359217,0.03632735589454914,0.046443097357606065,0.06761813253678124,0.07801579016036,0.09575712706508308,0.12063482551482217,0.11707350117122305,0.1248783528290946,0.12911527655247984
30,0.011855436023324728,0.02058132626116276,0.03635071826477845,0.04610973913222551,0.07159722087283929,0.07911231319109599,0.09642251605788867,0.12395769500484069,0.12254962443063656,0.13003613327940305,0.13077663605411846
