eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.01185543602332468,0.0005978409320999245,0.011647236878828415,0.012077869715479462,30
10,0.02058132626116269,0.003981719354817319,0.019237471120431955,0.022080546476257283,30
20,0.03635071826477842,0.016568593956410617,0.03089051831203197,0.04269822331300623,30
30,0.04610973913222547,0.028234813238391377,0.036817899773207756,0.05677613227628166,30
40,0.07159722087283925,0.05910190640700795,0.051903063808567775,0.09417847994870192,30
50,0.07911231319109596,0.05042192116687142,0.06230061247323946,0.09801035182240106,30
60,0.09642251605788864,0.07111674451101538,0.07220384623544908,0.12298330840344228,30
70,0.12395769500484066,0.0820249793220595,0.09583281030257541,0.154458137898085,30
80,0.12254962443063654,0.0825379823479705,0.09405885219573971,0.15268347556081904,30
90,0.13003613327940303,0.08555513637892957,0.10105497759145991,0.16103195893267785,30
100,0.13077663605411843,0.08805650861702122,0.10043574609483279,0.16301182588562368,30
