eval_year,avg,min,max,n_runs
0,0.011440683389082511,0.0110090244561433,0.0129558285698294,30
10,0.018493959014969166,0.0149568635970354,0.0279772505164146,30
20,0.031292704998382465,0.0199539884924888,0.0423994287848472,30
30,0.03888691422928653,0.0241772718727588,0.0506823547184467,30
40,0.041950402914413334,0.0271478239446878,0.0496895499527454,30
50,0.0428177286604685,0.0306361597031354,0.0516447126865386,30
60,0.04473988113126581,0.0328655540943145,0.0507501475512981,30
70,0.04613859312874926,0.032317966222763,0.0513872951269149,30
80,0.04641147623104706,0.0399598591029644,0.0508770011365413,30
90,0.04575559297310451,0.0348967015743255,0.0508746467530727,30
100,0.04650164502007618,0.0387035012245178,0.0516068823635578,30
