eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.011475053243339021,0.0003976338880984481,0.011346509490782987,0.011624809664984508,30
10,0.01867530690506096,0.002647225325350256,0.01778400025097648,0.019696948431276985,30
20,0.031228270381689033,0.0068864872146925755,0.028822227274067656,0.03362929870840158,30
30,0.0387652509535352,0.007513052416742946,0.036005316317702304,0.04140809501986948,30
40,0.04168586557110146,0.007079490294376528,0.0390640878429015,0.04417855309477692,30
50,0.042612772621214344,0.006751025715796106,0.040065093308997615,0.04497324745636429,30
60,0.04454009359081583,0.005130270728562979,0.042666510598113105,0.046316158811872184,30
70,0.04581630428632096,0.004980682050198022,0.04391029179406659,0.04746756605183082,30
80,0.04607019821802772,0.003933928758558763,0.04453898763904965,0.04735698359707987,30
90,0.04548571209112799,0.004558579608669907,0.04369030863357084,0.04701864516362543,30
100,0.04638859356443084,0.003882682906010324,0.044956374714771874,0.04773199272962903,30
