,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.03367605402563199,0.05759584875318039,0.25000249382461076,0.4810548104350752,0.5946641544392672,0.304113469485605,0.46373447089094166,0.44845744150440237,0.46127795432491514,0.47235087950040444,0.47235087950040444,0.47235087950040444,0.5033760923061812,0.16770938041976746,0.3076825357836081,0.6325847488818105,0.675674054481934,0.6760385403782483,0.6661249552421131,0.9478260410979158,0.984590961066643
1,0.5040311190318335,0.3422368061063619,0.43126344318455345,0.4185514102832146,0.3810643429685559,0.10102507839697542,0.39122626818075834,0.41983435455778695,0.4210307012265746,0.41227172784495975,0.5871116704436594,0.2226763110343757,0.36464617439237884,0.6509482402091548,0.678879390200114,0.6484734961727306,0.5486329917590699,0.7687418352928582,0.959672188922286,0.9963780418788906,0.9855314810323298
2,0.11658236686863152,0.24733934466392857,0.18106529249576192,0.15883328518062348,0.27573483578397223,0.05736068494007412,0.08371029986393634,0.3791648092605029,0.4251025445663635,0.4246605556160872,0.4246605556160872,0.4246605556160872,0.4246605556160872,0.4450151495694571,0.3911786130910203,0.48474900774881935,0.7334475427968665,0.7774714636436802,0.7857004266298097,0.7722027174233322,0.9694844682539405
3,0.9492297341756323,0.8758530574067364,0.7182691453558002,0.898235857703872,0.7782841800012282,0.5938929058931608,0.6569298728849898,0.4789578700195249,0.5305961507629947,0.5293835731075758,0.5549392934346209,0.32436661594931243,0.32915396775601813,0.32145039311977897,0.332312038234706,0.3346410086799713,0.15433039086557412,0.1454715131963501,0.009257862981888989,0.004503940189724282,0.041594325998220855
4,0.05573927040800353,0.05892592795657657,0.8052018649119109,0.7861861710238178,0.7826773990939933,0.7826773990939933,0.7826773990939933,0.7826773990939933,0.7947546937799835,0.6993823996663906,0.8016991382244282,0.7938488966785343,0.8906470248288925,0.8317238545484367,0.7654975468474431,0.7978968393484498,0.9308608618443953,0.960226763160948,0.9770936586605666,0.95487888705586,0.6379774405140468
5,0.04051399645564855,0.007837171960781616,0.17115742250329125,0.2608105065208352,0.3760309372318996,0.42462511455195573,0.5689767214127754,0.4919362855543403,0.4948948524073665,0.5328682220813145,0.7195986735098548,0.7258269914808783,0.7359682214699972,0.7034460279985222,0.76732415510838,0.7744209301805253,0.754204319652847,0.8295947391001636,0.9635740816427655,1.0,0.9993547233984392
6,0.048307124207691635,0.04935985622996891,0.21364886691408758,0.31471887132838877,0.6087808568836859,0.6709079879980712,0.6388613424392375,0.65527744100343,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6476243797789403,0.6785200721304082,0.6469521671072356,0.9636998927329637,0.6486843487397312
7,0.5987567649773783,0.7361722650673738,0.8250297630887392,0.7218497764001971,0.9448650380282302,0.7511330744914937,0.7011107659276863,0.4685553805031181,0.4635895686335123,0.4760120614910542,0.4760120614910542,0.4760120614910542,0.47018112279373625,0.5063050709096975,0.49403579145401655,0.3320370126479525,0.12177815837178797,0.006351908716825293,0.0,0.0,0.017169282676187538
8,0.8380995175023047,0.6453997921932249,0.6479498832679061,0.4614087415502579,0.4915520660720685,0.48034305452772247,0.3321040352148849,0.4184820506254572,0.49488135318346416,0.46750915925778974,0.5689087557471075,0.46636966176854694,0.46636966176854694,0.46636966176854694,0.46636966176854694,0.5428013779461701,0.3191029618881824,0.3417445308271591,0.052290601800492276,0.24643266066823485,0.8567309261512993
9,0.9503431217628481,0.8542069262660824,0.8133024790074237,0.46571536654838813,0.4323358472153373,0.25283625283160494,0.5406178260591925,0.4630966965948929,0.4575800047171855,0.23709625866365303,0.24438296142694152,0.24687958760777823,0.24631548504367567,0.24231548504367567,0.26434796503064373,0.25755235928054987,0.24656790902674655,0.07834516229989033,0.01237231189662765,0.009982504349706746,0.016897158018513044
10,0.4042479481728638,0.22936911509589605,0.03562955946444343,0.1264234218088969,0.06549181640891327,0.1765510281823478,0.3851385003515748,0.2934339207315867,0.33721553725773146,0.5768642499411711,0.5359799092844112,0.54081739080042,0.541942503311671,0.5100237427171695,0.5303156927142773,0.5966123069346922,0.8664629002521876,0.8745601295017721,0.8583758411113995,0.9834120031516632,0.9773266354999741
