,0
36,"[125.19000244 124.81999969 125.48000336 125.70999908 124.93000031
 122.77999878 122.98999786 122.41999817 123.12000275 124.
 123.33999634 122.87999725 122.30999756 122.54000092 122.26999664
 121.66999817 122.30000305 122.55000305 122.73999786 120.05000305
 119.18000031]"
37,"[118.93000031 119.55000305 116.77999878 116.30000305 114.87999725
 115.54000092 116.33000183 117.22000122 115.97000122 115.26999664]"
38,"[115.75       115.37999725 115.41000366 115.19000244 115.73999786
 118.91999817 120.40000153 117.77999878 118.01000214 116.48000336]"
39,"[116.41999817 117.26000214 114.62999725 113.68000031 114.66000366
 114.43000031 114.37999725 114.05999756 113.69000244 113.81999969]"
40,"[113.22000122 111.58999634 111.51000214 113.47000122 113.20999908
 113.11000061 113.30999756 112.68000031 110.91999817 109.87999725
 109.33999634 107.33999634]"
41,"[108.83000183 109.41000366 109.36000061 108.61000061 109.44999695
 109.27999878 109.08000183 110.30000305 110.61000061 112.76999664
 113.55000305 112.97000122]"
42,"[113.20999908 111.94000244 112.30000305 112.26999664 111.95999908
 113.79000092 115.12000275 114.73000336 115.36000061 115.45999908]"
43,"[116.22000122 116.         115.98999786 115.83000183 116.34999847
 116.80999756 116.69999695 115.44000244 115.72000122 117.19000244
 118.63999939 119.26000214]"
44,"[118.         117.26000214 116.13999939 116.44000244 116.81999969
 117.45999908 117.66999817 118.68000031 119.47000122 118.37999725
 119.41999817]"
45,"[119.16999817 118.22000122 118.01000214 116.70999908 115.83999634
 114.88999939 114.58999634 114.88999939 114.79000092 114.40000153
 113.11000061 112.66000366 111.87999725 111.68000031]"
46,"[112.04000092 111.86000061 110.08999634 110.12000275 109.62999725
 108.98999786 109.61000061 111.23999786 109.95999908 109.69000244
 108.87000275]"
47,"[107.59999847 107.27999878 107.19999695 108.30000305 110.13999939
 109.83000183 109.13999939 110.26000214 110.20999908 109.61000061]"
48,"[108.70999908 107.65000153 107.29000092 107.22000122 107.52999878
 108.83000183 109.56999969 109.44999695 110.44000244 110.47000122
 111.06999969 110.73000336 111.54000092]"
49,"[111.41999817 111.48000336 111.16999817 110.36000061 109.43000031
 107.73999786 107.72000122 107.08999634 108.98000336 107.83000183
 106.13999939 105.16000366 103.70999908]"
50,"[103.08000183 102.83999634 102.59999847 102.41999817 103.84999847
 104.08999634 109.04000092 108.54000092 109.16000366 113.01999664
 116.11000061 115.34999847 117.58000183 118.55000305 117.11000061
 117.66000366 119.51000214 118.25       120.29000092 122.68000031]"
51,"[121.37000275 122.19999695 121.97000122 120.97000122 122.23999786
 123.09999847 124.29000092 123.76999664 122.55000305 122.51000214
 124.87999725]"
52,"[123.98999786 123.80999756 123.31999969 123.62000275 123.23999786
 121.62999725 120.41999817 121.97000122 121.51000214 121.98000336
 125.97000122 128.80000305 131.05000305]"
53,"[134.47000122 134.44000244 136.71000671 134.57000732 133.57000732
 136.72999573 136.58000183 139.22999573 139.05999756 138.83000183]"
54,"[133.32000732 134.47999573 135.28999329 133.58999634 133.72000122
 135.47000122 137.49000549 142.86999512 141.8500061  142.16000366
 140.44000244 143.02000427]"
55,"[141.16000366 141.75       139.52999878 137.02999878 135.41999817
 137.92999268 138.33999634 137.02000427 134.22000122 132.92999268]"
56,"[133.88000488 134.88000488 134.19999695 138.52999878 138.72000122
 138.82000732 138.69000244 141.77000427 142.72000122 141.82000732
 140.         139.57000732 139.94999695 137.3999939 ]"
57,"[135.24000549 135.30000305 137.49000549 136.25       138.61000061
 138.83000183 139.72000122 142.16999817 140.77000427 141.24000549
 140.33000183 140.63999939 138.33999634 141.36000061 141.96000671
 145.27000427 145.17999268 146.77999878 145.77999878]"
58,"[146.69000244 145.72999573 146.6499939  146.72000122 146.3999939
 145.27000427 146.28999329 143.8500061  139.97000122 141.75
 141.53999329 144.27000427 144.50999451 145.30000305]"
59,"[142.96000671 143.22999573 144.25999451 146.13999939 146.92999268
 145.69999695 145.         147.5        147.6499939  148.92999268]"
60,"[148.30000305 147.42999268 147.44000244 148.         145.47999573
 146.78999329 149.6000061  149.74000549 148.05999756 150.88000488
 152.30000305 153.47999573 153.66999817]"
61,"[153.66999817 151.25999451 152.86999512 151.80000305 151.24000549
 150.83000183 151.36999512 149.80999756 149.58999634 149.8999939 ]"
62,"[151.19000244 150.66000366 152.80999756 153.36999512 152.66999817
 151.8500061  151.58999634 153.38999939 152.96000671 153.02000427
 151.8999939  151.03999329 151.75999451 152.8500061  155.13999939
 155.82000732 156.77000427 158.11999512]"
63,"[158.75       159.74000549 158.71000671 160.71000671 160.05000305
 160.41999817 158.80999756 161.80999756 161.44000244 162.94999695
 164.42999268]"
64,"[162.11000061 162.33999634 163.30999756 164.27999878 166.1000061
 165.80999756 165.94999695 164.96000671 164.25       164.91000366
 163.3999939 ]"
65,"[163.71000671 163.27000427 161.99000549 162.13999939 163.42999268
 165.53999329 166.21000671 165.47999573 164.46000671 162.38999939]"
66,"[162.55000305 163.97999573 164.41999817 164.83000183 162.77000427
 161.36000061 161.83000183 162.67999268 164.83999634 165.52999878
 167.11999512 169.13999939 169.13000488 169.02000427 170.52999878]"
67,"[170.99000549 170.57000732 170.41000366 168.46000671 165.67999268
 166.63999939 167.63999939 168.63999939 166.6000061  168.47999573
 167.55999756 167.08000183 168.11000061 165.52999878 165.46000671
 166.00999451 164.28999329 163.94999695]"
68,"[164.82000732 169.28999329 169.05999756 168.88999939 169.52999878
 170.52999878 167.58999634 165.03999329 162.55999756 162.03999329
 162.00999451 163.44000244 161.33000183]"
69,"[161.74000549 159.17999268 160.13000488 161.53999329 161.53999329
 162.16000366 163.69999695 163.41000366 165.28999329 163.55000305
 163.97999573 164.33999634]"
70,"[162.77000427 161.25       160.83999634 162.13999939 162.25
 162.58000183 164.3999939  164.22999573 165.         167.88999939]"
71,"[167.96000671 167.77000427 166.91999817 165.47999573 164.80000305
 165.3500061  164.38000488 166.25       167.61999512 169.24000549
 168.41000366 169.75999451 169.50999451 170.07000732]"
72,"[168.42999268 168.         167.22999573 166.07000732 165.80999756
 166.27000427 167.74000549 170.27999878 170.80000305 172.6499939 ]"
73,"[170.33999634 169.61999512 169.86999512 169.86000061 170.42999268
 167.80999756 166.72999573 166.97999573 165.94999695 165.99000549
 166.47000122 165.38000488 164.83999634 163.36999512 163.55000305
 163.66000366 164.83999634 163.44999695 162.44000244]"
74,"[161.91000366 161.75999451 163.97000122 164.41000366 166.28999329
 166.58000183 165.36000061 166.08000183 166.13000488 165.08999634
 166.05000305 166.83999634 166.96000671 167.17999268]"
75,"[166.53999329 167.91000366 166.3999939  166.49000549 165.44000244
 165.75999451 165.47000122 165.91000366 165.19999695 165.08000183
 165.61999512 164.92999268 163.33000183 161.66000366 162.38999939
 162.32000732 162.        ]"
76,"[163.55999756 163.52999878 163.22000122 164.75999451 165.33999634
 164.86000061 164.92999268 164.03999329 166.77999878 168.80999756
 169.27999878 168.8999939 ]"
77,"[167.94999695 167.80000305 167.75       167.02000427 167.17999268
 167.83000183 167.55000305 167.03999329 166.21000671 164.86999512
 165.94000244 164.83999634 164.24000549 163.94000244 162.86999512]"
78,"[163.41000366 162.74000549 163.36000061 160.91000366 158.08000183
 158.74000549 155.8500061  155.41999817 156.30000305 154.94999695
 156.61000061 156.25       156.13000488 155.74000549 154.63999939
 154.30999756 154.28999329]"
79,"[157.50999451 159.30000305 156.82000732 157.05999756 158.19000244
 159.24000549 157.88999939 156.25       154.57000732 155.19000244
 154.3500061 ]"
80,"[156.33999634 156.77999878 156.77000427 157.41000366 159.27000427
 157.77999878 158.86000061 158.66000366 156.69000244 156.86000061
 156.66999817 157.30000305 159.88000488]"
81,"[159.52000427 159.17999268 157.97999573 157.66000366 157.53999329
 155.03999329 155.47999573 155.44999695 155.86999512 155.        ]"
82,"[157.72999573 157.30999756 158.32000732 158.97000122 157.8999939
 158.02000427 156.80000305 158.07000732 158.6499939  160.30000305
 159.88999939 160.05000305 161.67999268]"
83,"[161.8999939  161.19999695 159.11000061 159.47000122 160.52000427
 160.11000061 160.         158.49000549 157.5        158.
 157.99000549 156.57000732 155.77999878 154.72999573]"
84,"[153.88000488 153.1499939  151.22999573 151.61999512 150.28999329
 150.3500061  150.55000305 153.24000549 154.33999634 153.6499939
 155.00999451]"
85,"[154.91999817 155.16999817 153.05999756 152.19000244 152.13000488
 150.38999939 149.02999878 151.72999573 152.61000061 154.83999634
 154.50999451 154.46000671]"
86,"[153.97000122 152.71000671 151.63999939 152.83999634 153.17999268
 153.19999695 153.69999695 152.75999451 152.24000549 153.36000061
 152.88999939 150.55999756 150.02999878 150.88000488 151.6000061
 152.38000488 151.3999939  150.36999512 149.55000305 148.94999695
 147.82000732]"
87,"[148.83000183 150.08000183 151.19000244 150.19000244 150.66000366
 154.08000183 157.99000549 162.3500061  162.6000061  162.72000122
 161.75       165.53999329]"
88,"[165.41999817 165.42999268 164.41999817 162.80000305 163.77000427
 164.13999939 164.94000244 167.83000183 167.05999756 167.11999512
 167.50999451]"
89,"[166.44000244 167.3999939  167.08999634 166.6000061  166.67999268
 164.88000488 164.28999329 165.6499939  164.36999512 164.25999451]"
90,"[164.44999695 164.67999268 167.94000244 168.77999878 168.86999512
 167.6499939  166.94000244 167.47000122 165.66999817 165.27999878]"
91,"[165.61999512 166.27999878 166.96000671 166.1000061  164.61999512
 163.58999634 162.44000244 162.91999817 162.67999268 162.13000488
 161.66999817]"
92,"[162.11000061 162.77999878 164.17999268 165.77000427 164.77999878
 164.13999939 168.1000061  167.96000671 167.36000061 167.08999634]"
93,"[167.19999695 166.30999756 165.28999329 164.77999878 166.83999634
 166.08999634 167.49000549 167.41999817 168.58000183 170.41000366]"
94,"[169.16999817 168.67999268 167.6000061  167.36000061 165.97000122
 165.99000549 165.88999939 164.1000061  163.08999634 164.17999268]"
95,"[164.50999451 166.91999817 165.55000305 166.28999329 165.02000427
 163.91000366 163.58000183 162.82000732 163.38000488 162.1000061 ]"
96,"[162.75999451 162.25999451 162.83000183 163.07000732 162.63000488
 161.80999756 162.69000244 163.61000061 168.11000061 167.16000366]"
97,"[166.38000488 165.50999451 166.75999451 166.47000122 165.75
 166.25999451 167.24000549 165.36999512 164.57000732 163.67999268
 164.24000549 163.99000549 165.17999268 168.30999756 167.91000366
 170.50999451 170.80999756]"
98,"[171.19000244 170.72999573 171.32000732 175.22999573 175.47999573
 177.30000305 176.71000671 177.3500061  177.3999939  179.17999268
 179.38999939 179.63000488 178.63000488 180.3500061  180.61000061
 180.42999268 181.82000732 182.19000244]"
99,"[180.50999451 180.55999756 183.3500061  182.41000366 181.6000061
 181.33000183 181.17999268 180.19000244 179.36000061 179.22999573
 181.16999817 180.71000671 181.17999268 183.22999573]"
100,"[182.05999756 182.22999573 180.6499939  179.50999451 179.1000061
 178.78999329 179.66000366 178.19000244 177.83999634 176.52999878]"
101,"[176.88000488 179.53999329 179.08000183 179.3500061  179.03999329
 177.97000122 178.42999268 179.53999329 179.53999329 180.66000366
 181.27000427]"
102,"[180.52999878 179.11000061 179.02999878 178.02999878 178.21000671
 179.41999817 180.19000244 180.53999329 180.91999817 181.19999695
 181.67999268 180.83999634 181.11000061 180.69999695 181.88000488
 182.25999451 183.42999268]"
103,"[182.17999268 180.63000488 179.83000183 178.36999512 179.00999451
 180.08000183 179.99000549 180.75999451 180.61999512 181.91999817
 184.27999878 184.61000061 183.86999512 184.53999329 185.66000366
 187.41999817]"
104,"[189.72000122 189.63999939 188.55999756 187.6000061  188.28999329
 187.86000061 187.67999268 187.75       189.55000305 189.32000732
 190.03999329 190.16000366 191.05999756]"
105,"[189.67999268 189.50999451 189.03999329 187.61000061 185.33000183
 187.1000061  186.52999878 187.33999634 186.63000488 186.72999573
 189.61000061 189.1499939  189.74000549 190.05999756 191.22999573
 191.8500061  192.42999268]"
106,"[192.00999451 191.44999695 192.52000427 191.92999268 191.05000305
 192.36999512 192.94000244 193.28999329 192.72000122 194.72000122
 195.6499939 ]"
