,avg,min,max
0,0.1508873403072357,0.1508873403072357,0.1708350926637649
1,0.1253818720579147,0.1253818720579147,0.1558426320552826
2,0.2128558307886123,0.2128558307886123,0.2510356903076172
3,0.2305456399917602,0.2305456399917602,0.2339371889829635
4,0.2003896981477737,0.2003896981477737,0.234466552734375
5,0.2234290391206741,0.2234290391206741,0.2278250902891159
6,0.2071419060230255,0.2071419060230255,0.2944059073925018
7,0.2709897458553314,0.2709897458553314,0.3451392352581024
8,0.3172914683818817,0.3172914683818817,0.3257746398448944
9,0.2781189680099487,0.2781189680099487,0.3425778746604919
10,0.3083769381046295,0.3083769381046295,0.3224121034145355
