,0
32,"[12.57785511 12.07349586 12.19180202 12.07100487 12.07499027 11.97511387
 12.07598591 12.12953568 12.17212582 12.02094269 12.0575552  12.05307198
 11.99952316 11.93003273 12.00799084 11.96266079 11.52679539 11.67199993
 11.52928543 11.36241055 11.34696865]"
33,"[11.39553738 11.65705585 11.5208168  11.46901131 11.64609814 12.03638458
 12.13426781 12.04435539 12.09217644 12.19080639]"
34,"[12.44634819 12.57785511 12.55992222 12.38557625 12.15020847 12.19802856
 11.97611141 11.93152809 12.43015862 12.15668392 12.34971046 12.26577473
 12.31185246 12.49068165 11.99877644 11.99254894 11.63538837 11.74298382
 11.70637226 11.73177624 11.50413036]"
35,"[11.4144659  11.43463993 11.60475254 11.49366856 11.70462799 11.75842667
 11.85207558 11.85182571 11.72156525 11.57984638 11.17735481 11.19429111
 11.16390514 10.92604637 10.98258495]"
36,"[11.39603519 11.34846306 11.32554913 11.28171253 11.32629585 11.03439045
 11.15817642 11.11309528 10.98009396 11.13899803]"
37,"[11.09043026 11.37112808 11.50786591 11.502635   11.58158875 11.54721832
 11.50388145 11.47996998 11.41122818 11.42044258 11.77087975]"
38,"[11.73152733 11.74373245 11.66154003 11.61894894 11.56988335 11.64111614
 11.61371899 11.81247425 11.77586079 11.85581207 11.74721909 12.01695728]"
39,"[11.93227482 11.89367008 11.90512657 11.98457909 11.93053055 11.74049377
 11.68121624 11.601017   11.78657055 11.73401833 11.63812733 11.62666988
 11.68744278 11.49366856 11.62492657 11.50139046 11.40724277]"
40,"[11.77112865 11.73003292 11.71409321 11.72106743 11.85207558 11.80500221
 11.8139677  12.04286003 12.13227463 12.41845322 12.40126705 12.46328545
 12.6294117  12.9225626 ]"
41,"[12.90786839 12.82841587 12.83912563 12.7357626  12.57212734 12.58383274
 12.52405739 12.60002232 12.83190346 12.80973625 12.70164108 12.80475521
 13.07549    13.13626194 13.20699692]"
42,"[13.10811806 13.07623672 13.01870346 13.20998573 13.30861568 13.49018478
 13.43464375 13.51334858 13.53277588 13.56091976 13.58234024 13.7524519
 13.77312469 13.82318687]"
43,"[13.6862011  13.66353607 12.95444393 12.76490402 12.8020153  12.69641113
 12.65257454 12.74946213 12.85456753 12.70238781 12.77561378 12.72754383
 12.52804184]"
44,"[12.70238781 12.85232639 13.09541512 12.82019711 12.84560204 12.83937454
 12.66751862 12.39230061 12.24211407 12.45431805]"
45,"[12.40151596 12.61795521 12.77088165 12.75693417 12.82692242 12.78358364
 12.6127243  12.77411938 12.73725796 12.833148   13.07972431 13.14572716]"
46,"[13.0391264  12.93526459 12.81396961 12.98458099 13.01745701 13.07050896
 13.16938782 13.08345985 13.33177853 13.62019825 13.76914024 13.95021057
 14.14747238 14.17187977 14.15095901 14.13451958 14.12879181 14.50936508]"
47,"[14.5551939  14.54597759 14.4216938  14.79579163 15.18358803 15.32206917
 15.57636642 15.49193192 15.87524605 15.44485855 15.34249306 15.77786064
 15.93078709 16.05756187 16.20799828 16.83116341 16.83240891 16.65033913
 16.80202293 16.91733932 17.30438995]"
48,"[17.60899734 17.51460075 17.71484947 18.0735054  18.4754982  18.25507545
 17.2812252  16.53726387 15.74274158 16.45208359]"
49,"[15.98209476 15.68246841 15.78159714 15.58782291 16.1529541  16.45133591
 16.85432625 16.58782578 16.77636719 17.24187279]"
50,"[17.35993195 17.2603035  16.97462463 17.04012871 17.39753914 17.81472588
 17.80501175 17.89343071 17.41472435 17.41846085 17.28645515 17.18458748
 16.66827393 16.77088928]"
51,"[16.87101364 17.17786217 17.35220909 17.45283127 17.70463943 17.45308113
 17.4976635  17.22244644 17.06578255 17.06926918 16.36366463]"
52,"[16.17063713 15.73302937 16.26902008 16.10787392 15.89666462 16.28446198
 15.88172054 15.3412466  14.9636631  14.95021343 14.55419731 13.6642828 ]"
53,"[14.30861759 14.10712337 13.84759617 13.71160603 13.65556622 14.05481911
 12.84933758 12.33949947 12.62268734 12.4959116  12.57660961 12.86901379
 12.98034573 12.90388298 13.3155899 ]"
54,"[13.25656128 13.19155502 12.67623615 12.67748165 12.52455521 12.64759445
 12.11558819 11.56141472 11.77735615 11.84036922 11.73551178 11.38283443
 11.07349396 11.15070438 10.77710533 10.79329395 10.3018856 ]"
55,"[10.95493793 10.96340561 11.03389168 10.90711689 10.45755291 10.93800163
 10.75967026 10.79827499 11.47100353 11.22741699 11.41197491 11.06054211
 10.91110325 10.97062874 11.59927273 11.59902382 11.33551216 11.73327065
 11.8759861 ]"
