pattern,dtw_error,iou,n_segments
0,0.023376320882070575,0.4700460829493088,169
1,0.06487868290867034,0.006097560975609756,164
2,0.032177368708471196,0.1583011583011583,162
3,0.06958846799686114,0.8263157894736842,173
Avg,0.047505210124018316,0.36519014792494026,-
Paper,0.009,0.938,~700 (10k pts)
