protocol,seeds,baseline_mape_mean,best_mape_mean,best_pct_mean,best_pct_min,best_pct_max,final_mape_mean,final_pct_mean,final_pct_min,final_pct_max
continuous_chunked,2,0.0628571957349777,0.009609048254787849,-84.67291063748192,-85.0382946193617,-84.30752665560215,0.018333107233047402,-70.15352992557573,-76.3698800278216,-63.937179823329856
continuous_cross_refit_scaler,2,0.0605367179960012,0.01344489306211465,-75.34650169005499,-86.55584427289824,-64.13715910721174,0.0223410567268729,-63.28157711863952,-64.13715910721174,-62.42599513006729
independent_fixed,2,0.06977193057537075,0.06977193057537075,0.0,0.0,0.0,0.1636482179164886,137.12341766513967,110.59600405839045,163.65083127188888
