run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
25,tmtr,prices,0,1197,0.09194163233041763,0.204
25,tmtr,prices,10,1134,0.1019895002245903,0.205
25,tmtr,prices,20,1134,0.11926969140768051,0.204
25,tmtr,prices,30,1134,0.08777844160795212,0.203
25,tmtr,prices,40,1134,0.06594467163085938,0.202
25,tmtr,prices,50,1134,0.15644043684005737,0.202
25,tmtr,prices,60,1134,0.2654334306716919,0.207
25,tmtr,prices,70,1134,0.48700082302093506,0.199
25,tmtr,prices,80,1134,0.5422647595405579,0.202
25,tmtr,prices,90,1134,0.5359049439430237,0.208
25,tmtr,prices,100,1197,0.5583496689796448,0.203
