run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
17,tmtr,prices,0,1197,0.09663024544715881,0.208
17,tmtr,prices,10,1134,0.10109169781208038,0.206
17,tmtr,prices,20,1134,0.13246043026447296,0.205
17,tmtr,prices,30,1134,0.16681008040905,0.211
17,tmtr,prices,40,1134,0.1523686647415161,0.21
17,tmtr,prices,50,1134,0.0920940563082695,0.211
17,tmtr,prices,60,1134,0.5151486992835999,0.205
17,tmtr,prices,70,1134,0.217274010181427,0.21
17,tmtr,prices,80,1134,0.5218824148178101,0.213
17,tmtr,prices,90,1134,0.539212703704834,0.212
17,tmtr,prices,100,1197,0.5332236886024475,0.209
