run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
9,tmtr,prices,0,1197,0.08913964778184891,0.2
9,tmtr,prices,10,1134,0.09803938120603561,0.195
9,tmtr,prices,20,1134,0.10120327770709991,0.195
9,tmtr,prices,30,1134,0.11064483970403671,0.195
9,tmtr,prices,40,1134,0.14065544307231903,0.195
9,tmtr,prices,50,1134,0.1907528042793274,0.195
9,tmtr,prices,60,1134,0.19285668432712555,0.194
9,tmtr,prices,70,1134,0.4935555160045624,0.194
9,tmtr,prices,80,1134,0.5318008661270142,0.195
9,tmtr,prices,90,1134,0.5450905561447144,0.195
9,tmtr,prices,100,1197,0.5488780736923218,0.197
