run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
1,tmtr,prices,0,1197,0.07126754522323608,0.201
1,tmtr,prices,10,1134,0.1115678995847702,0.199
1,tmtr,prices,20,1134,0.07637645304203033,0.199
1,tmtr,prices,30,1134,0.1589384526014328,0.199
1,tmtr,prices,40,1134,0.17730918526649475,0.199
1,tmtr,prices,50,1134,0.09919331967830658,0.198
1,tmtr,prices,60,1134,0.25796473026275635,0.198
1,tmtr,prices,70,1134,0.5448752045631409,0.198
1,tmtr,prices,80,1134,0.5415533185005188,0.199
1,tmtr,prices,90,1134,0.543769121170044,0.203
1,tmtr,prices,100,1197,0.5403118133544922,0.199
