run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
3,tmtr,prices,0,1197,0.12150785326957703,0.203
3,tmtr,prices,10,1134,0.059928376227617264,0.202
3,tmtr,prices,20,1134,0.09873014688491821,0.2
3,tmtr,prices,30,1134,0.1318032443523407,0.2
3,tmtr,prices,40,1134,0.16124919056892395,0.205
3,tmtr,prices,50,1134,0.18919922411441803,0.2
3,tmtr,prices,60,1134,0.21843762695789337,0.2
3,tmtr,prices,70,1134,0.5285305380821228,0.199
3,tmtr,prices,80,1134,0.286857545375824,0.199
3,tmtr,prices,90,1134,0.5297237038612366,0.2
3,tmtr,prices,100,1197,0.5354356169700623,0.201
