run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
4,tmtr,prices,0,1197,0.08831313997507095,0.202
4,tmtr,prices,10,1134,0.12940168380737305,0.199
4,tmtr,prices,20,1134,0.12755830585956573,0.199
4,tmtr,prices,30,1134,0.11383727192878723,0.198
4,tmtr,prices,40,1134,0.21360693871974945,0.198
4,tmtr,prices,50,1134,0.4431397616863251,0.198
4,tmtr,prices,60,1134,0.2683488726615906,0.198
4,tmtr,prices,70,1134,0.5314090847969055,0.198
4,tmtr,prices,80,1134,0.39370763301849365,0.198
4,tmtr,prices,90,1134,0.5389854907989502,0.198
4,tmtr,prices,100,1197,0.5420719981193542,0.2
