run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
23,tmtr,prices,0,1197,0.08407579362392426,0.207
23,tmtr,prices,10,1134,0.16242167353630066,0.206
23,tmtr,prices,20,1134,0.11364289373159409,0.203
23,tmtr,prices,30,1134,0.16839681565761566,0.204
23,tmtr,prices,40,1134,0.07571808993816376,0.203
23,tmtr,prices,50,1134,0.15797559916973114,0.205
23,tmtr,prices,60,1134,0.4239031970500946,0.203
23,tmtr,prices,70,1134,0.42485278844833374,0.204
23,tmtr,prices,80,1134,0.5406703948974609,0.207
23,tmtr,prices,90,1134,0.5380387306213379,0.204
23,tmtr,prices,100,1197,0.5409417152404785,0.206
