run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
7,tmtr,prices,0,1197,0.07309076189994812,0.202
7,tmtr,prices,10,1134,0.10936012864112854,0.199
7,tmtr,prices,20,1134,0.12245650589466095,0.198
7,tmtr,prices,30,1134,0.07301697880029678,0.198
7,tmtr,prices,40,1134,0.15666909515857697,0.199
7,tmtr,prices,50,1134,0.12161508202552795,0.198
7,tmtr,prices,60,1134,0.2729054093360901,0.199
7,tmtr,prices,70,1134,0.5085603594779968,0.199
7,tmtr,prices,80,1134,0.5188227295875549,0.2
7,tmtr,prices,90,1134,0.5329719185829163,0.199
7,tmtr,prices,100,1197,0.5413693785667419,0.201
