run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
10,tmtr,prices,0,1197,0.0988612249493599,0.204
10,tmtr,prices,10,1134,0.1052035540342331,0.201
10,tmtr,prices,20,1134,0.12249691039323807,0.201
10,tmtr,prices,30,1134,0.11163205653429031,0.201
10,tmtr,prices,40,1134,0.2338300347328186,0.201
10,tmtr,prices,50,1134,0.2013198584318161,0.201
10,tmtr,prices,60,1134,0.505118727684021,0.201
10,tmtr,prices,70,1134,0.5408221483230591,0.201
10,tmtr,prices,80,1134,0.5377495288848877,0.2
10,tmtr,prices,90,1134,0.5380521416664124,0.2
10,tmtr,prices,100,1197,0.5283985733985901,0.201
