run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
2,tmtr,prices,0,1197,0.07686612010002136,0.199
2,tmtr,prices,10,1134,0.11692103743553162,0.195
2,tmtr,prices,20,1134,0.14870992302894592,0.199
2,tmtr,prices,30,1134,0.13835719227790833,0.195
2,tmtr,prices,40,1134,0.13746212422847748,0.195
2,tmtr,prices,50,1134,0.14901107549667358,0.195
2,tmtr,prices,60,1134,0.31827548146247864,0.195
2,tmtr,prices,70,1134,0.322041392326355,0.197
2,tmtr,prices,80,1134,0.5371145606040955,0.197
2,tmtr,prices,90,1134,0.539939820766449,0.196
2,tmtr,prices,100,1197,0.5388820171356201,0.198
