run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
6,tmtr,prices,0,1197,0.07361743599176407,0.201
6,tmtr,prices,10,1134,0.13784262537956238,0.199
6,tmtr,prices,20,1134,0.143544003367424,0.199
6,tmtr,prices,30,1134,0.16601896286010742,0.199
6,tmtr,prices,40,1134,0.10528714954853058,0.204
6,tmtr,prices,50,1134,0.1479860097169876,0.198
6,tmtr,prices,60,1134,0.4949057698249817,0.198
6,tmtr,prices,70,1134,0.3615967631340027,0.198
6,tmtr,prices,80,1134,0.5501983165740967,0.198
6,tmtr,prices,90,1134,0.5470847487449646,0.198
6,tmtr,prices,100,1197,0.5276718735694885,0.2
