run_id,experiment,datatype,synthetic_proportion_pct,train_windows,mape,fit_seconds
22,tmtr,prices,0,1197,0.11806964129209518,0.211
22,tmtr,prices,10,1134,0.1223846822977066,0.209
22,tmtr,prices,20,1134,0.16482405364513397,0.207
22,tmtr,prices,30,1134,0.13902117311954498,0.207
22,tmtr,prices,40,1134,0.15256178379058838,0.21
22,tmtr,prices,50,1134,0.307481586933136,0.206
22,tmtr,prices,60,1134,0.534747302532196,0.207
22,tmtr,prices,70,1134,0.5366789698600769,0.207
22,tmtr,prices,80,1134,0.5361669659614563,0.213
22,tmtr,prices,90,1134,0.5365865230560303,0.206
22,tmtr,prices,100,1197,0.535271167755127,0.208
