run_id,experiment,datatype,protocol,augmentation_idx,synthetic_days,train_windows,mape,fit_seconds
16,tatr,prices,continuous_chunked,72,18144,14805,0.20580020546913147,1.623
16,tatr,prices,continuous_chunked,73,18396,14994,0.25617527961730957,1.514
16,tatr,prices,continuous_chunked,74,18648,15183,0.24012227356433868,1.546
16,tatr,prices,continuous_chunked,75,18900,15372,0.24026310443878174,1.538
16,tatr,prices,continuous_chunked,76,19152,15561,0.16043148934841156,1.567
16,tatr,prices,continuous_chunked,77,19404,15750,0.1563405692577362,1.59
16,tatr,prices,continuous_chunked,78,19656,15939,0.2460477501153946,1.623
16,tatr,prices,continuous_chunked,79,19908,16128,0.3052172064781189,1.598
16,tatr,prices,continuous_chunked,80,20160,16317,0.20629224181175232,1.634
16,tatr,prices,continuous_chunked,81,20412,16506,0.17637233436107635,1.679
16,tatr,prices,continuous_chunked,82,20664,16695,0.10751955211162567,1.701
16,tatr,prices,continuous_chunked,83,20916,16884,0.25748133659362793,1.691
16,tatr,prices,continuous_chunked,84,21168,17073,0.25259649753570557,1.722
16,tatr,prices,continuous_chunked,85,21420,17262,0.21613070368766785,1.753
16,tatr,prices,continuous_chunked,86,21672,17451,0.24016772210597992,1.771
16,tatr,prices,continuous_chunked,87,21924,17640,0.2331000119447708,1.767
16,tatr,prices,continuous_chunked,88,22176,17829,0.1840009093284607,1.793
16,tatr,prices,continuous_chunked,89,22428,18018,0.24765489995479584,1.834
16,tatr,prices,continuous_chunked,90,22680,18207,0.16215571761131287,1.857
16,tatr,prices,continuous_chunked,91,22932,18396,0.24969416856765747,1.841
16,tatr,prices,continuous_chunked,92,23184,18585,0.2506833076477051,1.871
16,tatr,prices,continuous_chunked,93,23436,18774,0.12578615546226501,1.892
16,tatr,prices,continuous_chunked,94,23688,18963,0.25282925367355347,1.931
16,tatr,prices,continuous_chunked,95,23940,19152,0.23731933534145355,1.915
16,tatr,prices,continuous_chunked,96,24192,19341,0.22871293127536774,1.944
16,tatr,prices,continuous_chunked,97,24444,19530,0.2613811492919922,1.975
16,tatr,prices,continuous_chunked,98,24696,19719,0.23914790153503418,1.988
16,tatr,prices,continuous_chunked,99,24948,19908,0.2387530654668808,1.99
16,tatr,prices,continuous_chunked,100,25200,20097,0.24344412982463837,2.017
