eval_year,avg,min,max,n_runs
0,0.011254026454740287,0.010857312940061,0.0128737492486834,30
10,0.016250511032662167,0.0141933849081397,0.0374520607292652,30
20,0.018966215363304496,0.0143983038142323,0.0314002111554145,30
30,0.02184318764401328,0.0154881943017244,0.0470018237829208,30
40,0.02245306649378363,0.0153594128787517,0.2408611476421356,30
50,0.027360118526433146,0.0153030278161168,0.0642604827880859,30
60,0.02543046584885029,0.0156379230320453,0.0558022037148475,30
70,0.029616825482142776,0.0156462229788303,0.803225040435791,30
80,0.0399852717694427,0.0172044392675161,0.8689767718315125,30
90,0.04084664932452137,0.0151664046570658,0.6847800016403198,30
100,0.03090883485440692,0.0164474472403526,0.0641008913516998,30
