eval_year,mean_mape,std_mape,ci95_low,ci95_high,n_runs
0,0.01129432898014779,0.0004096267519023442,0.011162227923050471,0.011454902745317627,30
10,0.016887049376964513,0.004523818035920793,0.015553790958753422,0.018742287930411546,30
20,0.019218339491635525,0.004437224791890703,0.017735306310933053,0.020911906098481228,30
30,0.022454343270510383,0.007235082878539094,0.020057508212048516,0.025257736551575323,30
40,0.029472399813433445,0.03974029669823213,0.02048102805701391,0.04525002919137474,30
50,0.02818769635632629,0.012352621762857206,0.024010146932365944,0.032823325057979615,30
60,0.026095467961082804,0.009795083245576056,0.022850793075437293,0.02974897488796457,30
70,0.054850017714003683,0.13959516788145268,0.025601763900679798,0.10914314688649024,30
80,0.0668203985939423,0.15718007899300981,0.026632872537399297,0.134137818639477,30
90,0.06143163057665026,0.1286764370063569,0.02553163948624079,0.11390866560939072,30
100,0.03153041899204248,0.012687753969049297,0.027090296555931315,0.036277638563575805,30
