protocol,baseline_mape,best_blocks,best_mape,best_pct_vs_no_aug,final_blocks,final_mape,final_pct_vs_no_aug,total_fit_seconds
continuous_cross,0.06524324417114258,70,0.009149031713604927,-85.97704355472318,100,0.0153513727709651,-76.47055573953956,357.549
continuous_chunked,0.05297374725341797,100,0.009921649470925331,-81.27062934879471,100,0.009921649470925331,-81.27062934879471,240.85699999999997
independent_fixed,0.056540705263614655,0,0.056540705263614655,0.0,100,0.11111070215702057,96.51453167939711,242.56900000000002
continuous_cross_refit_scaler,0.06487768888473511,70,0.009298132732510567,-85.66821215066695,100,0.009467624127864838,-85.40696456576083,346.048
