protocol,baseline_mape,best_blocks,best_mape,best_pct_vs_no_aug,final_blocks,final_mape,final_pct_vs_no_aug
independent_argmax,0.14824791252613068,0,0.14824791252613068,0.0,50,0.2581728994846344,74.14943326040289
continuous_argmax_chunked,0.12560488283634186,30,0.013880190439522266,-88.9493225692447,50,0.03494372218847275,-72.17964668300115
independent_sampled,0.12620331346988678,0,0.12620331346988678,0.0,50,0.2441364973783493,93.44697905780613
continuous_sampled_chunked,0.13862751424312592,50,0.067650705575943,-51.199654740041936,50,0.067650705575943,-51.199654740041936
