run,protocol,synthetic_proportion_pct,train_windows,mape,baseline_mape,pct_change_vs_real_only,fit_seconds
0,real_only,0,1197,0.0549054890871048,0.0549054890871048,0.0,10.157
0,independent_argmax,10,1134,0.12104782462120056,0.0549054890871048,120.46579792625884,9.92
0,independent_argmax,20,1134,0.15818403661251068,0.0549054890871048,188.1024087802217,9.856
0,independent_argmax,30,1134,0.17823494970798492,0.0549054890871048,224.62136786583238,9.893
0,independent_argmax,40,1134,0.06593511253595352,0.0549054890871048,20.08838029172417,9.85
0,independent_argmax,50,1134,0.16488058865070343,0.0549054890871048,200.29891617781362,9.848
0,independent_argmax,60,1134,0.18864251673221588,0.0549054890871048,243.5767896228809,9.864
0,independent_argmax,70,1134,0.3317914307117462,0.0549054890871048,504.2955562883263,9.825
0,independent_argmax,80,1134,0.5026784539222717,0.0549054890871048,815.5340609475269,9.829
0,independent_argmax,90,1134,0.5426275730133057,0.0549054890871048,888.2938519178916,9.854
0,independent_argmax,100,1197,0.5485184192657471,0.0549054890871048,899.0229180830175,10.102
0,continuous_argmax,10,1134,0.2477482259273529,0.0549054890871048,351.22669890857867,9.999
0,continuous_argmax,20,1134,0.16190548241138458,0.0549054890871048,194.88032089929965,10.019
0,continuous_argmax,30,1134,0.10514017939567566,0.0549054890871048,91.49302035881341,9.947
0,continuous_argmax,40,1134,0.17020291090011597,0.0549054890871048,209.99252302460616,9.929
0,continuous_argmax,50,1134,0.02395925670862198,0.0549054890871048,-56.3627296523817,10.005
0,continuous_argmax,60,1134,0.0499977208673954,0.0549054890871048,-8.938574815212863,9.986
0,continuous_argmax,70,1134,0.22691959142684937,0.0549054890871048,313.29126686560033,9.915
0,continuous_argmax,80,1134,0.010716849938035011,0.0549054890871048,-80.48127770789316,10.12
0,continuous_argmax,90,1134,0.31688544154167175,0.0549054890871048,477.1471064376622,9.875
0,continuous_argmax,100,1197,0.04806557670235634,0.0549054890871048,-12.457611248844868,10.276
0,independent_sampled,10,1134,0.09239872545003891,0.0549054890871048,68.28686345631668,9.786
0,independent_sampled,20,1134,0.10880864411592484,0.0549054890871048,98.1744374288432,10.077
0,independent_sampled,30,1134,0.09648288041353226,0.0549054890871048,75.7253819567421,10.164
0,independent_sampled,40,1134,0.12966981530189514,0.0549054890871048,136.16912891201187,10.176
0,independent_sampled,50,1134,0.20339129865169525,0.0549054890871048,270.4389160963946,10.051
0,independent_sampled,60,1134,0.20128700137138367,0.0549054890871048,266.6063352100406,9.99
0,independent_sampled,70,1134,0.5283148288726807,0.0549054890871048,862.2258860758634,9.953
0,independent_sampled,80,1134,0.547849714756012,0.0549054890871048,897.8049988533495,9.967
0,independent_sampled,90,1134,0.5513280630111694,0.0549054890871048,904.1401546146236,9.931
0,independent_sampled,100,1197,0.5543139576911926,0.0549054890871048,909.5783990045173,10.267
0,continuous_sampled,10,1134,0.043136704713106155,0.0549054890871048,-21.434622602720207,10.049
0,continuous_sampled,20,1134,0.06806056201457977,0.0549054890871048,23.959485920624644,10.075
0,continuous_sampled,30,1134,0.11436150223016739,0.0549054890871048,108.28792190292415,10.051
0,continuous_sampled,40,1134,0.08350349962711334,0.0549054890871048,52.08588615728246,10.033
0,continuous_sampled,50,1134,0.22092415392398834,0.0549054890871048,302.3717074507856,10.044
0,continuous_sampled,60,1134,0.04781069606542587,0.0549054890871048,-12.921828290106646,10.073
0,continuous_sampled,70,1134,0.46725842356681824,0.0549054890871048,751.0231514840643,9.988
0,continuous_sampled,80,1134,0.3944156765937805,0.0549054890871048,618.3538169891536,10.011
0,continuous_sampled,90,1134,0.3912626802921295,0.0549054890871048,612.6112284901259,10.056
0,continuous_sampled,100,1197,0.22449029982089996,0.0549054890871048,308.8667700687583,10.351
1,real_only,0,1197,0.07343729585409164,0.07343729585409164,0.0,10.405
1,independent_argmax,10,1134,0.0816386416554451,0.07343729585409164,11.167821072344818,10.128
1,independent_argmax,20,1134,0.06137669086456299,0.07343729585409164,-16.42299712872214,10.123
1,independent_argmax,30,1134,0.2261182963848114,0.07343729585409164,207.90662122700283,10.01
