protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,pct_change_vs_real_only
independent_argmax,0,1197,0.22447435557842255,10.107,0.0
independent_argmax,10,1134,0.05226374790072441,9.825,-76.71727455635104
independent_argmax,20,1134,0.10047463327646255,9.837,-55.24003932762793
independent_argmax,30,1134,0.08114445954561234,9.932,-63.85134536347354
independent_argmax,40,1134,0.13092084228992462,9.825,-41.67670424865703
independent_argmax,50,1134,0.11294467002153397,9.857,-49.68482269143857
independent_argmax,60,1134,0.2211802899837494,9.853,-1.4674574234482385
independent_argmax,70,1134,0.22813527286052704,9.886,1.6308844155810533
independent_argmax,80,1134,0.5442161560058594,9.816,142.44023536832543
independent_argmax,90,1134,0.5467439293861389,9.817,143.56632096227492
independent_argmax,100,1197,0.5474494695663452,10.105,143.8806286605366
continuous_argmax,0,1197,0.09027257561683655,10.284,0.0
continuous_argmax,10,1134,0.19394691288471222,9.955,114.84588376864654
continuous_argmax,20,1134,0.11557324975728989,9.971,28.026977149563642
continuous_argmax,30,1134,0.11168687790632248,9.978,23.72182486559295
continuous_argmax,40,1134,0.21856458485126495,9.934,142.11626106578146
continuous_argmax,50,1134,0.01067151129245758,9.965,-88.17856783243563
continuous_argmax,60,1134,0.07333406060934067,9.901,-18.76374401832921
continuous_argmax,70,1134,0.23320052027702332,9.886,158.3293084123874
continuous_argmax,80,1134,0.014750493690371513,9.952,-83.66005003227089
continuous_argmax,90,1134,0.3132386803627014,9.934,246.99207175859058
continuous_argmax,100,1197,0.09337010979652405,10.313,3.4313125093882726
independent_sampled,0,1197,0.07809211313724518,10.315,0.0
independent_sampled,10,1134,0.1473354697227478,9.94,88.66882173339188
independent_sampled,20,1134,0.09194041043519974,10.022,17.733285400558287
independent_sampled,30,1134,0.09876532107591629,10.028,26.472849956484595
independent_sampled,40,1134,0.18522414565086365,9.99,137.1867506329817
independent_sampled,50,1134,0.3010949194431305,9.945,285.5638006797982
independent_sampled,60,1134,0.5234668850898743,9.931,570.3197852642209
independent_sampled,70,1134,0.42685723304748535,9.929,446.6073536738507
independent_sampled,80,1134,0.5509284734725952,9.938,605.4854214334686
independent_sampled,90,1134,0.5520895719528198,9.952,606.9722533728016
independent_sampled,100,1197,0.5548641681671143,10.26,610.525232160068
continuous_sampled,0,1197,0.10095511376857758,10.377,0.0
continuous_sampled,10,1134,0.045657843351364136,10.071,-54.774115300363114
continuous_sampled,20,1134,0.0890251100063324,10.033,-11.817136662925943
continuous_sampled,30,1134,0.2396744042634964,10.03,137.40689829037208
continuous_sampled,40,1134,0.10538015514612198,10.018,4.383177050038355
continuous_sampled,50,1134,0.20484323799610138,10.023,102.9052619025022
continuous_sampled,60,1134,0.053981002420186996,10.07,-46.529699779320474
continuous_sampled,70,1134,0.4837958812713623,9.967,379.21879656376996
continuous_sampled,80,1134,0.3958478271961212,9.978,292.1027993723379
continuous_sampled,90,1134,0.4176349639892578,9.968,313.68381293355276
continuous_sampled,100,1197,0.22586670517921448,10.302,123.72983076119897
