protocol,baseline_mape,best_proportion_pct,best_mape,best_pct_vs_real_only,final_mape_100pct,final_pct_vs_real_only
independent_argmax,0.22447435557842255,10,0.05226374790072441,-76.71727455635104,0.5474494695663452,143.8806286605366
continuous_argmax,0.09027257561683655,50,0.01067151129245758,-88.17856783243563,0.09337010979652405,3.4313125093882726
independent_sampled,0.07809211313724518,0,0.07809211313724518,0.0,0.5548641681671143,610.525232160068
continuous_sampled,0.10095511376857758,10,0.045657843351364136,-54.774115300363114,0.22586670517921448,123.72983076119897
