augmentation_idx,avg,min,max
0,0.07882864028215408,0.07882864028215408,0.08605217933654785
1,0.08599919080734253,0.08599919080734253,0.08773260563611984
2,0.07872190326452255,0.07872190326452255,0.0869048610329628
3,0.09078077971935272,0.09078077971935272,0.09227357059717178
4,0.08207870274782181,0.08207870274782181,0.08420690894126892
5,0.08745905756950378,0.08745905756950378,0.09123817831277847
6,0.09036974608898163,0.09036974608898163,0.10364478826522827
7,0.10659684985876083,0.10659684985876083,0.10677871853113174
8,0.10740011930465698,0.10740011930465698,0.11852435022592545
9,0.088007353246212,0.088007353246212,0.10729946196079254
10,0.1129489317536354,0.1129489317536354,0.12391557544469833
11,0.10098893940448761,0.10098893940448761,0.10274020582437515
12,0.11302264034748077,0.11302264034748077,0.11860544979572296
13,0.10404789447784424,0.10404789447784424,0.11355338990688324
14,0.0946558266878128,0.0946558266878128,0.11732892692089081
15,0.1441464126110077,0.1441464126110077,0.1498440057039261
16,0.09328220039606094,0.09328220039606094,0.12265665829181671
17,0.10047304630279541,0.10047304630279541,0.12814699113368988
18,0.10979030281305313,0.10979030281305313,0.1325208693742752
19,0.10966944694519043,0.10966944694519043,0.1296120584011078
20,0.11236055940389633,0.11236055940389633,0.18706759810447693
21,0.1256229430437088,0.1256229430437088,0.12592841684818268
22,0.12753543257713318,0.12753543257713318,0.15411540865898132
23,0.12028960138559341,0.12028960138559341,0.12553812563419342
24,0.11424456536769867,0.11424456536769867,0.11946026980876923
25,0.1300601065158844,0.1300601065158844,0.14473439753055573
26,0.15547943115234375,0.15547943115234375,0.18593302369117737
27,0.11998538672924042,0.11998538672924042,0.12243441492319107
28,0.1636030375957489,0.1636030375957489,0.1759161651134491
29,0.14881281554698944,0.14881281554698944,0.25741180777549744
30,0.13300825655460358,0.13300825655460358,0.14559778571128845
31,0.13239166140556335,0.13239166140556335,0.16089901328086853
32,0.14402082562446594,0.14402082562446594,0.14812365174293518
33,0.14631208777427673,0.14631208777427673,0.1535836011171341
34,0.13221684098243713,0.13221684098243713,0.1665964424610138
35,0.14868350327014923,0.14868350327014923,0.1660284548997879
36,0.1320568174123764,0.1320568174123764,0.14749225974082947
37,0.1413010060787201,0.1413010060787201,0.23462636768817902
38,0.14751964807510376,0.14751964807510376,0.21569661796092987
39,0.11873449385166168,0.11873449385166168,0.1387413591146469
40,0.1572512686252594,0.1572512686252594,0.18302880227565765
